,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL262,MAE,"(500, 250, 100)",0.0,tanh,0.01,200,90.0,0.2065937542601635,0.5247227592127663
1,1,DNN,0,CHEMBL262,MSE,"(500, 250, 100)",0.0,tanh,0.01,200,90.0,0.2065937542601635,0.5247227592127663
5,5,DNN,0,CHEMBL262,SERA,"(100, 100)",0.0,tanh,0.01,200,33.0,29.82767115141216,70.36868218013218
6,6,DNN,1,CHEMBL262,MAE,"(250, 250)",0.0,tanh,0.001,200,11.0,0.2272023997808757,0.4856315957648413
7,7,DNN,1,CHEMBL262,MSE,"(250, 250)",0.0,tanh,0.001,200,11.0,0.2272023997808757,0.4856315957648413
11,11,DNN,1,CHEMBL262,SERA,"(100, 100)",0.0,tanh,0.001,200,20.0,38.19701014066997,61.82145874840872
12,12,DNN,2,CHEMBL262,MAE,"(100, 100)",0.0,tanh,0.001,200,17.0,0.2529662494596682,0.4910669901541301
13,13,DNN,2,CHEMBL262,MSE,"(100, 100)",0.0,tanh,0.001,200,17.0,0.2529662494596682,0.4910669901541301
17,17,DNN,2,CHEMBL262,SERA,"(100, 100)",0.0,tanh,0.001,200,23.0,23.172667804517243,73.51828166416713
18,18,DNN,3,CHEMBL262,MAE,"(500, 250, 100)",0.0,tanh,0.01,200,89.0,0.0712232056416963,0.4944078241075788
19,19,DNN,3,CHEMBL262,MSE,"(500, 250, 100)",0.0,tanh,0.01,200,89.0,0.0712232056416963,0.4944078241075788
23,23,DNN,3,CHEMBL262,SERA,"(250, 250)",0.0,tanh,0.01,200,18.0,14.165868859542044,77.44446672712054
24,24,DNN,4,CHEMBL262,MAE,"(250, 500)",0.0,tanh,0.01,200,192.0,0.0563238907213273,0.5120559696640287
25,25,DNN,4,CHEMBL262,MSE,"(250, 500)",0.0,tanh,0.01,200,192.0,0.0563238907213273,0.5120559696640287
29,29,DNN,4,CHEMBL262,SERA,"(500, 250)",0.0,tanh,0.01,200,25.0,40.27112032237806,85.09140614100865
