,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL2409,MAE,"(250, 500)",0.25,tanh,0.01,200,196.0,0.1677780076861381,0.6971437968313694
1,1,DNN,0,CHEMBL2409,MSE,"(250, 500)",0.25,tanh,0.01,200,196.0,0.1677780076861381,0.6971437968313694
5,5,DNN,0,CHEMBL2409,SERA,"(250, 250)",0.0,tanh,0.01,200,56.0,18.39396339914073,200.1236162185669
6,6,DNN,1,CHEMBL2409,MAE,"(100, 100)",0.0,tanh,0.001,200,17.0,0.3266503674828488,0.6496644839644432
7,7,DNN,1,CHEMBL2409,MSE,"(100, 100)",0.0,tanh,0.001,200,17.0,0.3266503674828488,0.6496644839644432
11,11,DNN,1,CHEMBL2409,SERA,"(100, 100)",0.0,tanh,0.001,200,18.0,85.33932014133619,165.7717342376709
12,12,DNN,2,CHEMBL2409,MAE,"(500, 250)",0.0,tanh,0.01,200,52.0,0.123108416147854,0.6498910263180733
13,13,DNN,2,CHEMBL2409,MSE,"(500, 250)",0.0,tanh,0.01,200,52.0,0.123108416147854,0.6498910263180733
17,17,DNN,2,CHEMBL2409,SERA,"(100, 100)",0.0,tanh,0.01,200,57.0,9.709525854691217,192.71799564361567
18,18,DNN,3,CHEMBL2409,MAE,"(500, 250)",0.0,tanh,0.01,200,53.0,0.137213803179886,0.7158646881580353
19,19,DNN,3,CHEMBL2409,MSE,"(500, 250)",0.0,tanh,0.01,200,53.0,0.137213803179886,0.7158646881580353
23,23,DNN,3,CHEMBL2409,SERA,"(100, 100)",0.0,tanh,0.001,200,17.0,126.56628003327742,210.41874504089355
24,24,DNN,4,CHEMBL2409,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,58.0,0.0551964156734554,0.594846997410059
25,25,DNN,4,CHEMBL2409,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,58.0,0.0551964156734554,0.594846997410059
29,29,DNN,4,CHEMBL2409,SERA,"(500, 250)",0.0,tanh,0.01,200,101.0,51.8682280830715,187.14506149291992
