,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL279,MAE,"(250, 500)",0.0,tanh,0.01,200,110.0,0.0282151187163626,0.559462001423041
1,1,DNN,0,CHEMBL279,MSE,"(250, 500)",0.0,tanh,0.01,200,110.0,0.0282151187163626,0.559462001423041
5,5,DNN,0,CHEMBL279,SERA,"(250, 500)",0.0,tanh,0.01,200,74.0,16.491701087286305,91.2781037012736
6,6,DNN,1,CHEMBL279,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,17.0,0.1500519898741744,0.5539817899465561
7,7,DNN,1,CHEMBL279,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,17.0,0.1500519898741744,0.5539817899465561
11,11,DNN,1,CHEMBL279,SERA,"(500, 250)",0.0,tanh,0.01,200,58.0,64.8566911386889,92.00599219004312
12,12,DNN,2,CHEMBL279,MAE,"(500, 250)",0.0,tanh,0.01,200,80.0,0.1157415590660516,0.6062209367752075
13,13,DNN,2,CHEMBL279,MSE,"(500, 250)",0.0,tanh,0.01,200,80.0,0.1157415590660516,0.6062209367752075
17,17,DNN,2,CHEMBL279,SERA,"(250, 500)",0.0,tanh,0.01,200,69.0,4.997896028119464,104.26209335327148
18,18,DNN,3,CHEMBL279,MAE,"(250, 250)",0.0,tanh,0.01,200,16.0,0.1625901346289834,0.5590644620358944
19,19,DNN,3,CHEMBL279,MSE,"(250, 250)",0.0,tanh,0.01,200,16.0,0.1625901346289834,0.5590644620358944
23,23,DNN,3,CHEMBL279,SERA,"(250, 250)",0.0,tanh,0.01,200,76.0,3.0332030030184014,78.94157498677572
24,24,DNN,4,CHEMBL279,MAE,"(100, 100)",0.0,tanh,0.01,200,29.0,0.0748609962418328,0.4737947642803192
25,25,DNN,4,CHEMBL279,MSE,"(100, 100)",0.0,tanh,0.01,200,29.0,0.0748609962418328,0.4737947642803192
29,29,DNN,4,CHEMBL279,SERA,"(250, 250)",0.0,tanh,0.01,200,139.0,8.674642888612526,75.73739608128865
