,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,4005,XGBoost,MAE,MAE,0.0984908532574601,0
1,4005,XGBoost,MAE,MSE,0.0441724686386581,0
2,4005,XGBoost,MAE,R2,0.9624608505790436,0
3,4005,XGBoost,MAE,RMSE,0.2101724735512673,0
7,4005,XGBoost,MAE,SERA,0.014869506470859,0
8,4005,XGBoost,MSE,MAE,0.1347364474496904,0
9,4005,XGBoost,MSE,MSE,0.0324039380433838,0
10,4005,XGBoost,MSE,R2,0.9724621170261368,0
11,4005,XGBoost,MSE,RMSE,0.1800109386770255,0
15,4005,XGBoost,MSE,SERA,0.0058316625654697,0
40,4005,XGBoost,SERA,MAE,0.1773084604425877,0
41,4005,XGBoost,SERA,MSE,0.0607071448700355,0
42,4005,XGBoost,SERA,R2,0.9484091640691888,0
43,4005,XGBoost,SERA,RMSE,0.2463881995348712,0
47,4005,XGBoost,SERA,SERA,0.0055072763934731,0
48,4005,XGBoost,MAE,MAE,0.0946364393172591,1
49,4005,XGBoost,MAE,MSE,0.0415031895630836,1
50,4005,XGBoost,MAE,R2,0.9653855417834424,1
51,4005,XGBoost,MAE,RMSE,0.2037233161989164,1
55,4005,XGBoost,MAE,SERA,0.0156938750296831,1
56,4005,XGBoost,MSE,MAE,0.0663404302257787,1
57,4005,XGBoost,MSE,MSE,0.0086134707790288,1
58,4005,XGBoost,MSE,R2,0.9928161997302146,1
59,4005,XGBoost,MSE,RMSE,0.0928087861090148,1
63,4005,XGBoost,MSE,SERA,0.0016759261488914,1
88,4005,XGBoost,SERA,MAE,0.167465904800785,1
89,4005,XGBoost,SERA,MSE,0.054260896793778,1
90,4005,XGBoost,SERA,R2,0.9547453686178422,1
91,4005,XGBoost,SERA,RMSE,0.23293968488383,1
95,4005,XGBoost,SERA,SERA,0.0049537378363311,1
96,4005,XGBoost,MAE,MAE,0.0994122231795641,2
97,4005,XGBoost,MAE,MSE,0.040930370399905,2
98,4005,XGBoost,MAE,R2,0.965503893225897,2
99,4005,XGBoost,MAE,RMSE,0.2023125562092108,2
103,4005,XGBoost,MAE,SERA,0.0148783875629305,2
104,4005,XGBoost,MSE,MAE,0.1379554997262581,2
105,4005,XGBoost,MSE,MSE,0.0332188916326819,2
106,4005,XGBoost,MSE,R2,0.9720031257601076,2
107,4005,XGBoost,MSE,RMSE,0.1822605048623588,2
111,4005,XGBoost,MSE,SERA,0.005716604180634,2
136,4005,XGBoost,SERA,MAE,0.2831692648120129,2
137,4005,XGBoost,SERA,MSE,0.1509900537103624,2
138,4005,XGBoost,SERA,R2,0.8727456174051071,2
139,4005,XGBoost,SERA,RMSE,0.3885743863282324,2
143,4005,XGBoost,SERA,SERA,0.0140398554503917,2
144,4005,XGBoost,MAE,MAE,0.0980010801339088,3
145,4005,XGBoost,MAE,MSE,0.0464128216977871,3
146,4005,XGBoost,MAE,R2,0.9622647462924242,3
147,4005,XGBoost,MAE,RMSE,0.2154363518484917,3
151,4005,XGBoost,MAE,SERA,0.019163629040122,3
152,4005,XGBoost,MSE,MAE,0.2176137927549639,3
153,4005,XGBoost,MSE,MSE,0.0789137023570308,3
154,4005,XGBoost,MSE,R2,0.9358403891313368,3
155,4005,XGBoost,MSE,RMSE,0.2809158278862741,3
159,4005,XGBoost,MSE,SERA,0.0164344944059848,3
184,4005,XGBoost,SERA,MAE,0.1820052762920272,3
185,4005,XGBoost,SERA,MSE,0.0663299002709652,3
186,4005,XGBoost,SERA,R2,0.946071462075265,3
187,4005,XGBoost,SERA,RMSE,0.257545918762005,3
191,4005,XGBoost,SERA,SERA,0.0059384321793913,3
192,4005,XGBoost,MAE,MAE,0.1013409619637071,4
193,4005,XGBoost,MAE,MSE,0.0470315027804295,4
194,4005,XGBoost,MAE,R2,0.9593508954006948,4
195,4005,XGBoost,MAE,RMSE,0.2168674774613048,4
199,4005,XGBoost,MAE,SERA,0.0167027078568935,4
200,4005,XGBoost,MSE,MAE,0.1368760415155063,4
201,4005,XGBoost,MSE,MSE,0.0330069744599846,4
202,4005,XGBoost,MSE,R2,0.971472228655028,4
203,4005,XGBoost,MSE,RMSE,0.1816782168009819,4
207,4005,XGBoost,MSE,SERA,0.0061805094592273,4
232,4005,XGBoost,SERA,MAE,0.3005643954435968,4
233,4005,XGBoost,SERA,MSE,0.1668287479972745,4
234,4005,XGBoost,SERA,R2,0.8558107050252672,4
235,4005,XGBoost,SERA,RMSE,0.4084467505039971,4
239,4005,XGBoost,SERA,SERA,0.0155869545415043,4
