,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,284,kNN,MAE,MAE,0.3345340920892188,0
1,284,kNN,MAE,MSE,0.2338641749735919,0
2,284,kNN,MAE,R2,0.7566949725350807,0
3,284,kNN,MAE,RMSE,0.4835950526769189,0
7,284,kNN,MAE,SERA,0.049035295844078,0
8,284,kNN,MSE,MAE,0.3861436459865934,0
9,284,kNN,MSE,MSE,0.3029441004765513,0
10,284,kNN,MSE,R2,0.6848263625880033,0
11,284,kNN,MSE,RMSE,0.5504035796363895,0
15,284,kNN,MSE,SERA,0.0790069699287414,0
40,284,kNN,SERA,MAE,0.3861436459865934,0
41,284,kNN,SERA,MSE,0.3029441004765513,0
42,284,kNN,SERA,R2,0.6848263625880033,0
43,284,kNN,SERA,RMSE,0.5504035796363895,0
47,284,kNN,SERA,SERA,0.0790069699287414,0
48,284,kNN,MAE,MAE,0.3769347365136664,1
49,284,kNN,MAE,MSE,0.2842940833574419,1
50,284,kNN,MAE,R2,0.7020628323756879,1
51,284,kNN,MAE,RMSE,0.533192351180549,1
55,284,kNN,MAE,SERA,0.0690158978104591,1
56,284,kNN,MSE,MAE,0.3769347365136664,1
57,284,kNN,MSE,MSE,0.2842940833574419,1
58,284,kNN,MSE,R2,0.7020628323756879,1
59,284,kNN,MSE,RMSE,0.533192351180549,1
63,284,kNN,MSE,SERA,0.0690158978104591,1
88,284,kNN,SERA,MAE,0.3204859787500111,1
89,284,kNN,SERA,MSE,0.2126750870068336,1
90,284,kNN,SERA,R2,0.7771187768005603,1
91,284,kNN,SERA,RMSE,0.4611670922852514,1
95,284,kNN,SERA,SERA,0.0488530620932579,1
96,284,kNN,MAE,MAE,0.3196489880486716,2
97,284,kNN,MAE,MSE,0.2091377267202149,2
98,284,kNN,MAE,R2,0.77821699283524,2
99,284,kNN,MAE,RMSE,0.4573157844643185,2
103,284,kNN,MAE,SERA,0.0485260635614395,2
104,284,kNN,MSE,MAE,0.38155563656182,2
105,284,kNN,MSE,MSE,0.2876633512394316,2
106,284,kNN,MSE,R2,0.6949434036149584,2
107,284,kNN,MSE,RMSE,0.5363425689234742,2
111,284,kNN,MSE,SERA,0.0731684416532516,2
136,284,kNN,SERA,MAE,0.3196489880486716,2
137,284,kNN,SERA,MSE,0.2091377267202149,2
138,284,kNN,SERA,R2,0.77821699283524,2
139,284,kNN,SERA,RMSE,0.4573157844643185,2
143,284,kNN,SERA,SERA,0.0485260635614395,2
144,284,kNN,MAE,MAE,0.3825273836493728,3
145,284,kNN,MAE,MSE,0.2898623513026919,3
146,284,kNN,MAE,R2,0.6913751261799798,3
147,284,kNN,MAE,RMSE,0.5383886619373517,3
151,284,kNN,MAE,SERA,0.0749393701553344,3
152,284,kNN,MSE,MAE,0.3825273836493728,3
153,284,kNN,MSE,MSE,0.2898623513026919,3
154,284,kNN,MSE,R2,0.6913751261799798,3
155,284,kNN,MSE,RMSE,0.5383886619373517,3
159,284,kNN,MSE,SERA,0.0749393701553344,3
184,284,kNN,SERA,MAE,0.3825273836493728,3
185,284,kNN,SERA,MSE,0.2898623513026919,3
186,284,kNN,SERA,R2,0.6913751261799798,3
187,284,kNN,SERA,RMSE,0.5383886619373517,3
191,284,kNN,SERA,SERA,0.0749393701553344,3
192,284,kNN,MAE,MAE,0.3921468244714177,4
193,284,kNN,MAE,MSE,0.3110785857493667,4
194,284,kNN,MAE,R2,0.6775757681665853,4
195,284,kNN,MAE,RMSE,0.5577441938284672,4
199,284,kNN,MAE,SERA,0.0815140604972839,4
200,284,kNN,MSE,MAE,0.3921468244714177,4
201,284,kNN,MSE,MSE,0.3110785857493667,4
202,284,kNN,MSE,R2,0.6775757681665853,4
203,284,kNN,MSE,RMSE,0.5577441938284672,4
207,284,kNN,MSE,SERA,0.0815140604972839,4
232,284,kNN,SERA,MAE,0.3323072009217305,4
233,284,kNN,SERA,MSE,0.2261662871477139,4
234,284,kNN,SERA,R2,0.7655849848212652,4
235,284,kNN,SERA,RMSE,0.4755694346230778,4
239,284,kNN,SERA,SERA,0.0532852858304977,4
