,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
0,0,kNN,0,CHEMBL284,MAE,3
1,1,kNN,0,CHEMBL284,MSE,5
5,5,kNN,0,CHEMBL284,SERA,5
6,6,kNN,1,CHEMBL284,MAE,5
7,7,kNN,1,CHEMBL284,MSE,5
11,11,kNN,1,CHEMBL284,SERA,3
12,12,kNN,2,CHEMBL284,MAE,3
13,13,kNN,2,CHEMBL284,MSE,5
17,17,kNN,2,CHEMBL284,SERA,3
18,18,kNN,3,CHEMBL284,MAE,5
19,19,kNN,3,CHEMBL284,MSE,5
23,23,kNN,3,CHEMBL284,SERA,5
24,24,kNN,4,CHEMBL284,MAE,5
25,25,kNN,4,CHEMBL284,MSE,5
29,29,kNN,4,CHEMBL284,SERA,3
