,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,4822,GCN,Oracle,MAE,0.1971002886878956,0
1,4822,GCN,Oracle,MSE,0.0655962159790533,0
2,4822,GCN,Oracle,R2,0.952554487651341,0
3,4822,GCN,Oracle,RMSE,0.2561175823309546,0
7,4822,GCN,Oracle,SERA,0.0108297960832715,0
8,4822,GCN,Oracle,MAE,0.2938387362106605,1
9,4822,GCN,Oracle,MSE,0.1471054076933652,1
10,4822,GCN,Oracle,R2,0.8937321480481986,1
11,4822,GCN,Oracle,RMSE,0.3835432279331304,1
15,4822,GCN,Oracle,SERA,0.0248362571001052,1
16,4822,GCN,Oracle,MAE,0.5506352892386142,2
17,4822,GCN,Oracle,MSE,0.4324469365197519,2
18,4822,GCN,Oracle,R2,0.6918232868368115,2
19,4822,GCN,Oracle,RMSE,0.6576069772438184,2
23,4822,GCN,Oracle,SERA,0.0988278612494468,2
24,4822,GCN,Oracle,MAE,0.4585685422626609,3
25,4822,GCN,Oracle,MSE,0.3239140716360745,3
26,4822,GCN,Oracle,R2,0.7647350760676426,3
27,4822,GCN,Oracle,RMSE,0.5691344934513058,3
31,4822,GCN,Oracle,SERA,0.0580744296312332,3
32,4822,GCN,Oracle,MAE,0.3606905781407251,4
33,4822,GCN,Oracle,MSE,0.1701961873582965,4
34,4822,GCN,Oracle,R2,0.8800666029095792,4
35,4822,GCN,Oracle,RMSE,0.4125484060789673,4
39,4822,GCN,Oracle,SERA,0.0305297598242759,4
40,4822,DNN,Oracle,MAE,0.2416372173283988,0
41,4822,DNN,Oracle,MSE,0.1127136294123592,0
42,4822,DNN,Oracle,R2,0.918474628203341,0
43,4822,DNN,Oracle,RMSE,0.3357285055105676,0
47,4822,DNN,Oracle,SERA,0.0197738856077194,0
48,4822,DNN,Oracle,MAE,0.792534340171693,1
49,4822,DNN,Oracle,MSE,0.703197560133218,1
50,4822,DNN,Oracle,R2,0.4920153148355322,1
51,4822,DNN,Oracle,RMSE,0.8385687569503278,1
55,4822,DNN,Oracle,SERA,0.128738448023796,1
56,4822,DNN,Oracle,MAE,0.0822715434109137,2
57,4822,DNN,Oracle,MSE,0.0108761798996491,2
58,4822,DNN,Oracle,R2,0.9922492562897544,2
59,4822,DNN,Oracle,RMSE,0.1042889251054449,2
63,4822,DNN,Oracle,SERA,0.002287468407303,2
64,4822,DNN,Oracle,MAE,0.1262251083641299,3
65,4822,DNN,Oracle,MSE,0.025695532510845,3
66,4822,DNN,Oracle,R2,0.9813368481615168,3
67,4822,DNN,Oracle,RMSE,0.160298261097384,3
71,4822,DNN,Oracle,SERA,0.004269185476005,3
72,4822,DNN,Oracle,MAE,0.1838011724608792,4
73,4822,DNN,Oracle,MSE,0.0669625132056999,4
74,4822,DNN,Oracle,R2,0.9528130341159474,4
75,4822,DNN,Oracle,RMSE,0.2587711599187591,4
79,4822,DNN,Oracle,SERA,0.0118521507829427,4
80,4822,XGBoost,Oracle,MAE,0.0475333913556864,0
81,4822,XGBoost,Oracle,MSE,0.0043129446473876,0
82,4822,XGBoost,Oracle,R2,0.9968804623030076,0
83,4822,XGBoost,Oracle,RMSE,0.0656730130829065,0
87,4822,XGBoost,Oracle,SERA,0.0008407980203628,0
88,4822,XGBoost,Oracle,MAE,0.1881898355841419,1
89,4822,XGBoost,Oracle,MSE,0.0574223852482774,1
90,4822,XGBoost,Oracle,R2,0.9585184961588704,1
91,4822,XGBoost,Oracle,RMSE,0.2396296835708745,1
95,4822,XGBoost,Oracle,SERA,0.010863727889955,1
96,4822,XGBoost,Oracle,MAE,0.0926952579762638,2
97,4822,XGBoost,Oracle,MSE,0.0154503339339945,2
98,4822,XGBoost,Oracle,R2,0.9889895551871144,2
99,4822,XGBoost,Oracle,RMSE,0.1242993722188271,2
103,4822,XGBoost,Oracle,SERA,0.0027530314400792,2
104,4822,XGBoost,Oracle,MAE,0.2693711598336911,3
105,4822,XGBoost,Oracle,MSE,0.1184710296661155,3
106,4822,XGBoost,Oracle,R2,0.913952247761864,3
107,4822,XGBoost,Oracle,RMSE,0.3441962080937493,3
111,4822,XGBoost,Oracle,SERA,0.023737234994769,3
112,4822,XGBoost,Oracle,MAE,0.0481800756487601,4
113,4822,XGBoost,Oracle,MSE,0.004450899782045,4
114,4822,XGBoost,Oracle,R2,0.996863551767785,4
115,4822,XGBoost,Oracle,RMSE,0.0667150641313115,4
119,4822,XGBoost,Oracle,SERA,0.0007159713422879,4
120,4822,SVR,Oracle,MAE,0.0932655831885883,0
121,4822,SVR,Oracle,MSE,0.0097674217695253,0
122,4822,SVR,Oracle,R2,0.9929352581812256,0
123,4822,SVR,Oracle,RMSE,0.0988302674767468,0
127,4822,SVR,Oracle,SERA,0.0017844529356807,0
128,4822,SVR,Oracle,MAE,0.0924274042982048,1
129,4822,SVR,Oracle,MSE,0.0101281074942804,1
130,4822,SVR,Oracle,R2,0.9926835305062502,1
131,4822,SVR,Oracle,RMSE,0.1006384990661149,1
135,4822,SVR,Oracle,SERA,0.0017653390532359,1
136,4822,SVR,Oracle,MAE,0.0929016039674681,2
137,4822,SVR,Oracle,MSE,0.0090915114954284,2
138,4822,SVR,Oracle,R2,0.9935210730063329,2
139,4822,SVR,Oracle,RMSE,0.0953494179081781,2
143,4822,SVR,Oracle,SERA,0.0017516807420179,2
144,4822,SVR,Oracle,MAE,0.093189654684365,3
145,4822,SVR,Oracle,MSE,0.0105195127821469,3
146,4822,SVR,Oracle,R2,0.9923594786666822,3
147,4822,SVR,Oracle,RMSE,0.102564676093414,3
151,4822,SVR,Oracle,SERA,0.0018058363348245,3
152,4822,SVR,Oracle,MAE,0.0931062178449569,4
153,4822,SVR,Oracle,MSE,0.0095637494387923,4
154,4822,SVR,Oracle,R2,0.9932606424566888,4
155,4822,SVR,Oracle,RMSE,0.0977944243747685,4
159,4822,SVR,Oracle,SERA,0.0017683339538052,4
160,4822,kNN,Oracle,MAE,0.0015376805716924,0
161,4822,kNN,Oracle,MSE,0.0011140680955208,0
162,4822,kNN,Oracle,R2,0.9991941984641284,0
163,4822,kNN,Oracle,RMSE,0.0333776586285022,0
167,4822,kNN,Oracle,SERA,0.0001106539493775,0
168,4822,kNN,Oracle,MAE,0.0005855305098324,1
169,4822,kNN,Oracle,MSE,0.0003061614583045,1
170,4822,kNN,Oracle,R2,0.9997788312405737,1
171,4822,kNN,Oracle,RMSE,0.0174974700543971,1
175,4822,kNN,Oracle,SERA,3.018707866431214e-05,1
176,4822,kNN,Oracle,MAE,0.0003648976252956,2
177,4822,kNN,Oracle,MSE,0.0001189031973131,2
178,4822,kNN,Oracle,R2,0.9999152654500748,2
179,4822,kNN,Oracle,RMSE,0.0109042742680628,2
183,4822,kNN,Oracle,SERA,1.1723705938493367e-05,2
184,4822,kNN,Oracle,MAE,0.0015359586449604,3
185,4822,kNN,Oracle,MSE,0.0011128205388629,3
186,4822,kNN,Oracle,R2,0.9991917373700266,3
187,4822,kNN,Oracle,RMSE,0.033358964894956,3
191,4822,kNN,Oracle,SERA,0.0001105300398194,3
192,4822,kNN,Oracle,MAE,0.000950428135128,4
193,4822,kNN,Oracle,MSE,0.0008066590805583,4
194,4822,kNN,Oracle,R2,0.9994315656224336,4
195,4822,kNN,Oracle,RMSE,0.0284017443224599,4
199,4822,kNN,Oracle,SERA,8.034295024117455e-05,4
200,4822,MR,Oracle,MAE,0.9941136974907048,0
201,4822,MR,Oracle,MSE,1.3826762758495896,0
202,4822,MR,Oracle,R2,-8.488814305973591e-05,0
203,4822,MR,Oracle,RMSE,1.1758725593573436,0
207,4822,MR,Oracle,SERA,0.5461438894271851,0
208,4822,MR,Oracle,MAE,0.9981542128379456,1
209,4822,MR,Oracle,MSE,1.3848616814709886,1
210,4822,MR,Oracle,R2,-0.0004137743667689,1
211,4822,MR,Oracle,RMSE,1.1768014622148413,1
215,4822,MR,Oracle,SERA,0.5324679613113403,1
216,4822,MR,Oracle,MAE,1.0008399794521556,2
217,4822,MR,Oracle,MSE,1.4035849190804737,2
218,4822,MR,Oracle,R2,-0.0002433835899853,2
219,4822,MR,Oracle,RMSE,1.1847298928787413,2
223,4822,MR,Oracle,SERA,0.5661759972572327,2
224,4822,MR,Oracle,MAE,0.995051126581088,3
225,4822,MR,Oracle,MSE,1.376964816144492,3
226,4822,MR,Oracle,R2,-0.0001156204529886,3
227,4822,MR,Oracle,RMSE,1.173441441293298,3
231,4822,MR,Oracle,SERA,0.550239622592926,3
232,4822,MR,Oracle,MAE,1.0149193746297094,4
233,4822,MR,Oracle,MSE,1.4191727294698475,4
234,4822,MR,Oracle,R2,-5.886821122502717e-05,4
235,4822,MR,Oracle,RMSE,1.1912903632069924,4
239,4822,MR,Oracle,SERA,0.569298267364502,4
