,Unnamed: 0,model,trial,Target ID,Selection Metric,learning_rate,max_depth,n_estimators
0,0,XGBoost,0,CHEMBL220,MAE,0.1,10,250
1,1,XGBoost,0,CHEMBL220,MSE,0.1,5,100
5,5,XGBoost,0,CHEMBL220,SERA,0.1,5,250
6,6,XGBoost,1,CHEMBL220,MAE,0.1,10,250
7,7,XGBoost,1,CHEMBL220,MSE,0.1,5,250
11,11,XGBoost,1,CHEMBL220,SERA,0.1,10,100
12,12,XGBoost,2,CHEMBL220,MAE,0.1,10,250
13,13,XGBoost,2,CHEMBL220,MSE,0.1,10,100
17,17,XGBoost,2,CHEMBL220,SERA,0.1,5,250
18,18,XGBoost,3,CHEMBL220,MAE,0.1,10,250
19,19,XGBoost,3,CHEMBL220,MSE,0.1,5,250
23,23,XGBoost,3,CHEMBL220,SERA,0.1,10,100
24,24,XGBoost,4,CHEMBL220,MAE,0.1,10,250
25,25,XGBoost,4,CHEMBL220,MSE,0.1,5,250
29,29,XGBoost,4,CHEMBL220,SERA,0.1,10,100
