,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL4005,MAE,"(500, 250, 100)",0.0,tanh,0.01,200,200.0,0.1588560218612353,0.4119103495031595
1,1,DNN,0,CHEMBL4005,MSE,"(500, 250, 100)",0.0,tanh,0.01,200,200.0,0.1588560218612353,0.4119103495031595
5,5,DNN,0,CHEMBL4005,SERA,"(100, 100)",0.0,tanh,0.01,200,13.0,32.7247831026713,76.06355857849121
6,6,DNN,1,CHEMBL4005,MAE,"(100, 100)",0.0,tanh,0.01,200,186.0,0.0293881981245552,0.4318730719387531
7,7,DNN,1,CHEMBL4005,MSE,"(100, 100)",0.0,tanh,0.01,200,186.0,0.0293881981245552,0.4318730719387531
11,11,DNN,1,CHEMBL4005,SERA,"(100, 100)",0.0,tanh,0.01,200,111.0,3.413402239481608,62.07257127761841
12,12,DNN,2,CHEMBL4005,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,80.0,0.074016120750457,0.4193815048784017
13,13,DNN,2,CHEMBL4005,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,80.0,0.074016120750457,0.4193815048784017
17,17,DNN,2,CHEMBL4005,SERA,"(500, 250, 100)",0.0,tanh,0.01,200,46.0,10.730533987283708,64.8923282623291
18,18,DNN,3,CHEMBL4005,MAE,"(100, 100)",0.0,tanh,0.01,200,153.0,0.0174623768931875,0.4892803430557251
19,19,DNN,3,CHEMBL4005,MSE,"(100, 100)",0.0,tanh,0.01,200,153.0,0.0174623768931875,0.4892803430557251
23,23,DNN,3,CHEMBL4005,SERA,"(500, 250)",0.0,tanh,0.01,200,130.0,19.781085232893627,93.11951160430908
24,24,DNN,4,CHEMBL4005,MAE,"(250, 250)",0.0,tanh,0.01,200,198.0,0.0390593100649615,0.4236003160476684
25,25,DNN,4,CHEMBL4005,MSE,"(250, 250)",0.0,tanh,0.01,200,198.0,0.0390593100649615,0.4236003160476684
29,29,DNN,4,CHEMBL4005,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,157.0,4.207000449299812,56.30005598068237
