,Target ID,Algorithm,Selection Metric,Metric,Value,trial
24,1865,kNN,SERA,MAE,0.3312906867239728,0
25,1865,kNN,SERA,MSE,0.2226432344833862,0
26,1865,kNN,SERA,R2,0.7739770849918862,0
27,1865,kNN,SERA,RMSE,0.4718508604245479,0
31,1865,kNN,SERA,SERA,0.0464734844863414,0
32,1865,kNN,MAE,MAE,0.3991939706724384,0
33,1865,kNN,MAE,MSE,0.3034186630447944,0
34,1865,kNN,MAE,R2,0.6919755013064791,0
35,1865,kNN,MAE,RMSE,0.5508345151175572,0
39,1865,kNN,MAE,SERA,0.075262926518917,0
40,1865,kNN,MSE,MAE,0.3991939706724384,0
41,1865,kNN,MSE,MSE,0.3034186630447944,0
42,1865,kNN,MSE,R2,0.6919755013064791,0
43,1865,kNN,MSE,RMSE,0.5508345151175572,0
47,1865,kNN,MSE,SERA,0.075262926518917,0
72,1865,kNN,SERA,MAE,0.330833927309198,1
73,1865,kNN,SERA,MSE,0.2164240473938375,1
74,1865,kNN,SERA,R2,0.7796981966366835,1
75,1865,kNN,SERA,RMSE,0.4652139802218303,1
79,1865,kNN,SERA,SERA,0.0480796098709106,1
80,1865,kNN,MAE,MAE,0.330833927309198,1
81,1865,kNN,MAE,MSE,0.2164240473938375,1
82,1865,kNN,MAE,R2,0.7796981966366835,1
83,1865,kNN,MAE,RMSE,0.4652139802218303,1
87,1865,kNN,MAE,SERA,0.0480796098709106,1
88,1865,kNN,MSE,MAE,0.330833927309198,1
89,1865,kNN,MSE,MSE,0.2164240473938375,1
90,1865,kNN,MSE,R2,0.7796981966366835,1
91,1865,kNN,MSE,RMSE,0.4652139802218303,1
95,1865,kNN,MSE,SERA,0.0480796098709106,1
120,1865,kNN,SERA,MAE,0.3395273619127403,2
121,1865,kNN,SERA,MSE,0.2293212994493169,2
122,1865,kNN,SERA,R2,0.7665491155013855,2
123,1865,kNN,SERA,RMSE,0.4788750353164351,2
127,1865,kNN,SERA,SERA,0.0440162755548954,2
128,1865,kNN,MAE,MAE,0.3395273619127403,2
129,1865,kNN,MAE,MSE,0.2293212994493169,2
130,1865,kNN,MAE,R2,0.7665491155013855,2
131,1865,kNN,MAE,RMSE,0.4788750353164351,2
135,1865,kNN,MAE,SERA,0.0440162755548954,2
136,1865,kNN,MSE,MAE,0.3395273619127403,2
137,1865,kNN,MSE,MSE,0.2293212994493169,2
138,1865,kNN,MSE,R2,0.7665491155013855,2
139,1865,kNN,MSE,RMSE,0.4788750353164351,2
143,1865,kNN,MSE,SERA,0.0440162755548954,2
168,1865,kNN,SERA,MAE,0.3207226818614995,3
169,1865,kNN,SERA,MSE,0.196661474014396,3
170,1865,kNN,SERA,R2,0.7914299354869445,3
171,1865,kNN,SERA,RMSE,0.4434653019283425,3
175,1865,kNN,SERA,SERA,0.0381621681153774,3
176,1865,kNN,MAE,MAE,0.3207226818614995,3
177,1865,kNN,MAE,MSE,0.196661474014396,3
178,1865,kNN,MAE,R2,0.7914299354869445,3
179,1865,kNN,MAE,RMSE,0.4434653019283425,3
183,1865,kNN,MAE,SERA,0.0381621681153774,3
184,1865,kNN,MSE,MAE,0.3207226818614995,3
185,1865,kNN,MSE,MSE,0.196661474014396,3
186,1865,kNN,MSE,R2,0.7914299354869445,3
187,1865,kNN,MSE,RMSE,0.4434653019283425,3
191,1865,kNN,MSE,SERA,0.0381621681153774,3
216,1865,kNN,SERA,MAE,0.3392447031352227,4
217,1865,kNN,SERA,MSE,0.229716343310206,4
218,1865,kNN,SERA,R2,0.765140313153519,4
219,1865,kNN,SERA,RMSE,0.47928732855168,4
223,1865,kNN,SERA,SERA,0.051393337547779,4
224,1865,kNN,MAE,MAE,0.3392447031352227,4
225,1865,kNN,MAE,MSE,0.229716343310206,4
226,1865,kNN,MAE,R2,0.765140313153519,4
227,1865,kNN,MAE,RMSE,0.47928732855168,4
231,1865,kNN,MAE,SERA,0.051393337547779,4
232,1865,kNN,MSE,MAE,0.3392447031352227,4
233,1865,kNN,MSE,MSE,0.229716343310206,4
234,1865,kNN,MSE,R2,0.765140313153519,4
235,1865,kNN,MSE,RMSE,0.47928732855168,4
239,1865,kNN,MSE,SERA,0.051393337547779,4
