,Target ID,Algorithm,Selection Metric,Metric,Value,trial
24,2409,XGBoost,SERA,MAE,0.6918195296596829,0
25,2409,XGBoost,SERA,MSE,0.8956349323801911,0
26,2409,XGBoost,SERA,R2,0.3151960605518517,0
27,2409,XGBoost,SERA,RMSE,0.9463799091169418,0
31,2409,XGBoost,SERA,SERA,0.1025883480906486,0
32,2409,XGBoost,MAE,MAE,0.1561659740379146,0
33,2409,XGBoost,MAE,MSE,0.0955783396107429,0
34,2409,XGBoost,MAE,R2,0.9269206446454618,0
35,2409,XGBoost,MAE,RMSE,0.3091574673378325,0
39,2409,XGBoost,MAE,SERA,0.0391373895108699,0
40,2409,XGBoost,MSE,MAE,0.2997855250400076,0
41,2409,XGBoost,MSE,MSE,0.1525388868725203,0
42,2409,XGBoost,MSE,R2,0.8833685167105618,0
43,2409,XGBoost,MSE,RMSE,0.3905622701599839,0
47,2409,XGBoost,MSE,SERA,0.0614685006439685,0
72,2409,XGBoost,SERA,MAE,0.6650354470700095,1
73,2409,XGBoost,SERA,MSE,0.8241231894161236,1
74,2409,XGBoost,SERA,R2,0.3632057441893759,1
75,2409,XGBoost,SERA,RMSE,0.9078123095751256,1
79,2409,XGBoost,SERA,SERA,0.0942367315292358,1
80,2409,XGBoost,MAE,MAE,0.1318613950038286,1
81,2409,XGBoost,MAE,MSE,0.0734699082597026,1
82,2409,XGBoost,MAE,R2,0.9432303129488946,1
83,2409,XGBoost,MAE,RMSE,0.271053331024916,1
87,2409,XGBoost,MAE,SERA,0.0266677848994731,1
88,2409,XGBoost,MSE,MAE,0.449218063215437,1
89,2409,XGBoost,MSE,MSE,0.319915884095357,1
90,2409,XGBoost,MSE,R2,0.7528032217139369,1
91,2409,XGBoost,MSE,RMSE,0.5656110714045094,1
95,2409,XGBoost,MSE,SERA,0.1203078851103782,1
120,2409,XGBoost,SERA,MAE,0.6858526068410835,2
121,2409,XGBoost,SERA,MSE,0.8728219690587201,2
122,2409,XGBoost,SERA,R2,0.315963095374021,2
123,2409,XGBoost,SERA,RMSE,0.93424941480245,2
127,2409,XGBoost,SERA,SERA,0.1008352488279342,2
128,2409,XGBoost,MAE,MAE,0.1518987386630634,2
129,2409,XGBoost,MAE,MSE,0.0978355701449631,2
130,2409,XGBoost,MAE,R2,0.92332555442383,2
131,2409,XGBoost,MAE,RMSE,0.3127867806429216,2
135,2409,XGBoost,MAE,SERA,0.0403294004499912,2
136,2409,XGBoost,MSE,MAE,0.2995764076177609,2
137,2409,XGBoost,MSE,MSE,0.1535083771827425,2
138,2409,XGBoost,MSE,R2,0.8796943719513823,2
139,2409,XGBoost,MSE,RMSE,0.3918014512259271,2
143,2409,XGBoost,MSE,SERA,0.0622537098824977,2
168,2409,XGBoost,SERA,MAE,0.6736815271988911,3
169,2409,XGBoost,SERA,MSE,0.8547515471880314,3
170,2409,XGBoost,SERA,R2,0.3250107212078457,3
171,2409,XGBoost,SERA,RMSE,0.9245277427898156,3
175,2409,XGBoost,SERA,SERA,0.0985887199640274,3
176,2409,XGBoost,MAE,MAE,0.1462105614729436,3
177,2409,XGBoost,MAE,MSE,0.0897725751008891,3
178,2409,XGBoost,MAE,R2,0.9291074395571306,3
179,2409,XGBoost,MAE,RMSE,0.2996207187443638,3
183,2409,XGBoost,MAE,SERA,0.0355011671781539,3
184,2409,XGBoost,MSE,MAE,0.1877516529257632,3
185,2409,XGBoost,MSE,MSE,0.066503591573089,3
186,2409,XGBoost,MSE,R2,0.9474827375736444,3
187,2409,XGBoost,MSE,RMSE,0.2578829028320586,3
191,2409,XGBoost,MSE,SERA,0.0276545826345682,3
216,2409,XGBoost,SERA,MAE,0.7560318144559397,4
217,2409,XGBoost,SERA,MSE,1.0419049059610852,4
218,2409,XGBoost,SERA,R2,0.1758949730910494,4
219,2409,XGBoost,SERA,RMSE,1.0207374324286758,4
223,2409,XGBoost,SERA,SERA,0.1258127838373184,4
224,2409,XGBoost,MAE,MAE,0.2468320130078997,4
225,2409,XGBoost,MAE,MSE,0.1812315811718159,4
226,2409,XGBoost,MAE,R2,0.8566530820386316,4
227,2409,XGBoost,MAE,RMSE,0.4257130267819108,4
231,2409,XGBoost,MAE,SERA,0.0744744315743446,4
232,2409,XGBoost,MSE,MAE,0.0998626952823342,4
233,2409,XGBoost,MSE,MSE,0.0219991808878963,4
234,2409,XGBoost,MSE,R2,0.982599529521486,4
235,2409,XGBoost,MSE,RMSE,0.1483212084898727,4
239,2409,XGBoost,MSE,SERA,0.008701354265213,4
