,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
0,0,kNN,0,CHEMBL4005,MAE,5
1,1,kNN,0,CHEMBL4005,MSE,5
5,5,kNN,0,CHEMBL4005,SERA,1
6,6,kNN,1,CHEMBL4005,MAE,3
7,7,kNN,1,CHEMBL4005,MSE,3
11,11,kNN,1,CHEMBL4005,SERA,3
12,12,kNN,2,CHEMBL4005,MAE,5
13,13,kNN,2,CHEMBL4005,MSE,5
17,17,kNN,2,CHEMBL4005,SERA,5
18,18,kNN,3,CHEMBL4005,MAE,5
19,19,kNN,3,CHEMBL4005,MSE,5
23,23,kNN,3,CHEMBL4005,SERA,3
24,24,kNN,4,CHEMBL4005,MAE,5
25,25,kNN,4,CHEMBL4005,MSE,5
29,29,kNN,4,CHEMBL4005,SERA,1
