,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
3,3,kNN,0,CHEMBL2409,SERA,5
4,4,kNN,0,CHEMBL2409,MAE,5
5,5,kNN,0,CHEMBL2409,MSE,5
9,9,kNN,1,CHEMBL2409,SERA,5
10,10,kNN,1,CHEMBL2409,MAE,5
11,11,kNN,1,CHEMBL2409,MSE,5
15,15,kNN,2,CHEMBL2409,SERA,5
16,16,kNN,2,CHEMBL2409,MAE,5
17,17,kNN,2,CHEMBL2409,MSE,5
21,21,kNN,3,CHEMBL2409,SERA,5
22,22,kNN,3,CHEMBL2409,MAE,5
23,23,kNN,3,CHEMBL2409,MSE,5
27,27,kNN,4,CHEMBL2409,SERA,5
28,28,kNN,4,CHEMBL2409,MAE,5
29,29,kNN,4,CHEMBL2409,MSE,5
