,Unnamed: 0,model,trial,Target ID,Selection Metric,C,kernel
3,3,SVR,0,CHEMBL1865,SERA,10000,<function tanimoto_from_sparse at 0x14a2052c3dc0>
4,4,SVR,0,CHEMBL1865,MAE,10000,<function tanimoto_from_sparse at 0x14a2052c3dc0>
5,5,SVR,0,CHEMBL1865,MSE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
9,9,SVR,1,CHEMBL1865,SERA,100,<function tanimoto_from_sparse at 0x14a2052c3dc0>
10,10,SVR,1,CHEMBL1865,MAE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
11,11,SVR,1,CHEMBL1865,MSE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
15,15,SVR,2,CHEMBL1865,SERA,100,<function tanimoto_from_sparse at 0x14a2052c3dc0>
16,16,SVR,2,CHEMBL1865,MAE,10000,<function tanimoto_from_sparse at 0x14a2052c3dc0>
17,17,SVR,2,CHEMBL1865,MSE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
21,21,SVR,3,CHEMBL1865,SERA,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
22,22,SVR,3,CHEMBL1865,MAE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
23,23,SVR,3,CHEMBL1865,MSE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
27,27,SVR,4,CHEMBL1865,SERA,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
28,28,SVR,4,CHEMBL1865,MAE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
29,29,SVR,4,CHEMBL1865,MSE,10,<function tanimoto_from_sparse at 0x14a2052c3dc0>
