,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL284,MAE,"(100, 100)",0.0,tanh,0.001,200,20.0,0.1482044199109077,0.4974206421110365
1,1,DNN,0,CHEMBL284,MSE,"(100, 100)",0.0,tanh,0.001,200,20.0,0.1482044199109077,0.4974206421110365
5,5,DNN,0,CHEMBL284,SERA,"(500, 250, 100)",0.0,tanh,0.01,200,55.0,32.77595329284668,92.64912793371413
6,6,DNN,1,CHEMBL284,MAE,"(250, 500)",0.0,tanh,0.01,200,75.0,0.025653342269361,0.4349624307619201
7,7,DNN,1,CHEMBL284,MSE,"(250, 500)",0.0,tanh,0.01,200,75.0,0.025653342269361,0.4349624307619201
11,11,DNN,1,CHEMBL284,SERA,"(250, 250)",0.0,tanh,0.001,200,9.0,59.31639282226563,79.18020947774251
12,12,DNN,2,CHEMBL284,MAE,"(100, 100)",0.0,tanh,0.01,200,82.0,0.0202029652893543,0.4525436361630757
13,13,DNN,2,CHEMBL284,MSE,"(100, 100)",0.0,tanh,0.01,200,82.0,0.0202029652893543,0.4525436361630757
17,17,DNN,2,CHEMBL284,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,192.0,15.403064556121826,84.70702446831598
18,18,DNN,3,CHEMBL284,MAE,"(100, 100)",0.0,tanh,0.01,200,72.0,0.0151563592627644,0.4153197002079751
19,19,DNN,3,CHEMBL284,MSE,"(100, 100)",0.0,tanh,0.01,200,72.0,0.0151563592627644,0.4153197002079751
23,23,DNN,3,CHEMBL284,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,52.0,12.26203309059143,69.36730490790472
24,24,DNN,4,CHEMBL284,MAE,"(250, 500)",0.0,tanh,0.001,200,6.0,0.2886448866128921,0.4608573483096229
25,25,DNN,4,CHEMBL284,MSE,"(250, 500)",0.0,tanh,0.001,200,6.0,0.2886448866128921,0.4608573483096229
29,29,DNN,4,CHEMBL284,SERA,"(250, 500)",0.0,tanh,0.001,200,4.0,98.93281036376952,86.97773498959012
