,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,230,GCN,Oracle,MAE,0.1531457579453863,0
1,230,GCN,Oracle,MSE,0.041250569049566,0
2,230,GCN,Oracle,R2,0.9427634500634126,0
3,230,GCN,Oracle,RMSE,0.2031023610142581,0
7,230,GCN,Oracle,SERA,0.0045082331635057,0
8,230,GCN,Oracle,MAE,0.8305811738880449,1
9,230,GCN,Oracle,MSE,0.7355121934043106,1
10,230,GCN,Oracle,R2,0.0217533205715573,1
11,230,GCN,Oracle,RMSE,0.857620075210644,1
15,230,GCN,Oracle,SERA,0.0685842037200927,1
16,230,GCN,Oracle,MAE,0.2796788881733887,2
17,230,GCN,Oracle,MSE,0.1162894341740499,2
18,230,GCN,Oracle,R2,0.8455466682929851,2
19,230,GCN,Oracle,RMSE,0.3410123665998785,2
23,230,GCN,Oracle,SERA,0.0136744668707251,2
24,230,GCN,Oracle,MAE,0.2798127572462727,3
25,230,GCN,Oracle,MSE,0.1100067497887032,3
26,230,GCN,Oracle,R2,0.851663886924893,3
27,230,GCN,Oracle,RMSE,0.3316726545687829,3
31,230,GCN,Oracle,SERA,0.0116674173623323,3
32,230,GCN,Oracle,MAE,0.7945400621703155,4
33,230,GCN,Oracle,MSE,0.6571928244592623,4
34,230,GCN,Oracle,R2,0.1453815635511632,4
35,230,GCN,Oracle,RMSE,0.8106743023306353,4
39,230,GCN,Oracle,SERA,0.0646542608737945,4
40,230,DNN,Oracle,MAE,0.2768290316499068,0
41,230,DNN,Oracle,MSE,0.1465608473768803,0
42,230,DNN,Oracle,R2,0.7966419020897452,0
43,230,DNN,Oracle,RMSE,0.3828326623694487,0
47,230,DNN,Oracle,SERA,0.0234071407467126,0
48,230,DNN,Oracle,MAE,0.3097884877941904,1
49,230,DNN,Oracle,MSE,0.1494302153180017,1
50,230,DNN,Oracle,R2,0.8012546722515618,1
51,230,DNN,Oracle,RMSE,0.3865620458839715,1
55,230,DNN,Oracle,SERA,0.0196023285388946,1
56,230,DNN,Oracle,MAE,0.2386649080022706,2
57,230,DNN,Oracle,MSE,0.1198844516082377,2
58,230,DNN,Oracle,R2,0.840771837078104,2
59,230,DNN,Oracle,RMSE,0.346243341608525,2
63,230,DNN,Oracle,SERA,0.0203287936747074,2
64,230,DNN,Oracle,MAE,0.3150451638595696,3
65,230,DNN,Oracle,MSE,0.1934844239850076,3
66,230,DNN,Oracle,R2,0.7391003056663406,3
67,230,DNN,Oracle,RMSE,0.4398686440120591,3
71,230,DNN,Oracle,SERA,0.0344383232295513,3
72,230,DNN,Oracle,MAE,0.1907721119529171,4
73,230,DNN,Oracle,MSE,0.0661394945713608,4
74,230,DNN,Oracle,R2,0.913991709382097,4
75,230,DNN,Oracle,RMSE,0.257175999213303,4
79,230,DNN,Oracle,SERA,0.009610591456294,4
80,230,XGBoost,Oracle,MAE,0.3404897275844015,0
81,230,XGBoost,Oracle,MSE,0.1846113410962743,0
82,230,XGBoost,Oracle,R2,0.7438455641467461,0
83,230,XGBoost,Oracle,RMSE,0.4296642190086048,0
87,230,XGBoost,Oracle,SERA,0.0255283433943986,0
88,230,XGBoost,Oracle,MAE,0.1637669437640138,1
89,230,XGBoost,Oracle,MSE,0.0485762549173989,1
90,230,XGBoost,Oracle,R2,0.935392559772434,1
91,230,XGBoost,Oracle,RMSE,0.2204002153297472,1
95,230,XGBoost,Oracle,SERA,0.005629455205053,1
96,230,XGBoost,Oracle,MAE,0.3082760578716694,2
97,230,XGBoost,Oracle,MSE,0.1546218097991983,2
98,230,XGBoost,Oracle,R2,0.794634363408195,2
99,230,XGBoost,Oracle,RMSE,0.3932197983306517,2
103,230,XGBoost,Oracle,SERA,0.019435666501522,2
104,230,XGBoost,Oracle,MAE,0.2322433611710587,3
105,230,XGBoost,Oracle,MSE,0.0904174861470268,3
106,230,XGBoost,Oracle,R2,0.8780785863155316,3
