,Target ID,Algorithm,Selection Metric,Metric,Value,trial
120,284,GCN,SERA,MAE,0.4579898617211607,0
121,284,GCN,SERA,MSE,0.3202103469613611,0
122,284,GCN,SERA,R2,0.6668630957658102,0
123,284,GCN,SERA,RMSE,0.5658713166094931,0
127,284,GCN,SERA,SERA,0.091362252831459,0
128,284,GCN,SERA,MAE,0.2195691386497706,1
129,284,GCN,SERA,MSE,0.0822724173819711,1
130,284,GCN,SERA,R2,0.9137793839431724,1
131,284,GCN,SERA,RMSE,0.2868316882458616,1
135,284,GCN,SERA,SERA,0.0157046038657426,1
136,284,GCN,SERA,MAE,0.2565031349166293,2
137,284,GCN,SERA,MSE,0.1119724957158337,2
138,284,GCN,SERA,R2,0.8812572116516153,2
139,284,GCN,SERA,RMSE,0.334622915706372,2
143,284,GCN,SERA,SERA,0.0207502581179142,2
144,284,GCN,SERA,MAE,0.2128920048038924,3
145,284,GCN,SERA,MSE,0.0759804924840934,3
146,284,GCN,SERA,R2,0.9191013603515588,3
147,284,GCN,SERA,RMSE,0.2756455921724369,3
151,284,GCN,SERA,SERA,0.0159948840737342,3
152,284,GCN,SERA,MAE,0.2647447485565783,4
153,284,GCN,SERA,MSE,0.109752590540969,4
154,284,GCN,SERA,R2,0.886244517244237,4
155,284,GCN,SERA,RMSE,0.3312892852794504,4
159,284,GCN,SERA,SERA,0.0210147220641374,4
160,284,GCN,MSE,MAE,0.3860773346314806,0
161,284,GCN,MSE,MSE,0.2209100809456138,0
162,284,GCN,MSE,R2,0.770172009809457,0
163,284,GCN,MSE,RMSE,0.470010724287876,0
167,284,GCN,MSE,SERA,0.0639242008328437,0
168,284,GCN,MSE,MAE,0.5531617563601202,1
169,284,GCN,MSE,MSE,0.388831753395944,1
170,284,GCN,MSE,R2,0.5925084689732076,1
171,284,GCN,MSE,RMSE,0.623563752471184,1
175,284,GCN,MSE,SERA,0.1098029762506485,1
176,284,GCN,MSE,MAE,0.3348835696624689,2
177,284,GCN,MSE,MSE,0.1417731254943954,2
178,284,GCN,MSE,R2,0.8496547198805585,2
179,284,GCN,MSE,RMSE,0.3765277220795242,2
183,284,GCN,MSE,SERA,0.029245926067233,2
184,284,GCN,MSE,MAE,0.3603005333927107,3
185,284,GCN,MSE,MSE,0.1924190183301023,3
186,284,GCN,MSE,R2,0.7951258761760122,3
187,284,GCN,MSE,RMSE,0.4386559224837871,3
191,284,GCN,MSE,SERA,0.0507516339421272,3
192,284,GCN,MSE,MAE,0.1640790897489366,4
193,284,GCN,MSE,MSE,0.0426071688686222,4
194,284,GCN,MSE,R2,0.9558388641250596,4
195,284,GCN,MSE,RMSE,0.2064150403159185,4
199,284,GCN,MSE,SERA,0.0081848334521055,4
200,284,GCN,MAE,MAE,0.4924957895191478,0
201,284,GCN,MAE,MSE,0.3936802324433727,0
202,284,GCN,MAE,R2,0.5904273077402871,0
203,284,GCN,MAE,RMSE,0.6274394253179926,0
207,284,GCN,MAE,SERA,0.1334843039512634,0
208,284,GCN,MAE,MAE,0.2873901953627197,1
209,284,GCN,MAE,MSE,0.179089285916048,1
210,284,GCN,MAE,R2,0.8123163381821001,1
211,284,GCN,MAE,RMSE,0.4231894208460888,1
215,284,GCN,MAE,SERA,0.0547643303871154,1
216,284,GCN,MAE,MAE,0.4837773615931356,2
217,284,GCN,MAE,MSE,0.3833509506856609,2
218,284,GCN,MAE,R2,0.593470159708313,2
219,284,GCN,MAE,RMSE,0.6191534144989115,2
223,284,GCN,MAE,SERA,0.1321431994438171,2
224,284,GCN,MAE,MAE,0.5549737408612504,3
225,284,GCN,MAE,MSE,0.3767014043037998,3
226,284,GCN,MAE,R2,0.5989150614124445,3
227,284,GCN,MAE,RMSE,0.6137600543402933,3
231,284,GCN,MAE,SERA,0.1111072897911071,3
232,284,GCN,MAE,MAE,0.9834907150608648,4
233,284,GCN,MAE,MSE,1.1439709938902378,4
234,284,GCN,MAE,R2,-0.1856938594993553,4
235,284,GCN,MAE,RMSE,1.069565796896216,4
239,284,GCN,MAE,SERA,0.194891408085823,4
