,Unnamed: 0,model,trial,Target ID,Selection Metric,learning_rate,max_depth,n_estimators
0,0,XGBoost,0,CHEMBL262,MAE,0.1,10,250
1,1,XGBoost,0,CHEMBL262,MSE,0.1,5,50
5,5,XGBoost,0,CHEMBL262,SERA,0.1,3,100
6,6,XGBoost,1,CHEMBL262,MAE,0.1,5,250
7,7,XGBoost,1,CHEMBL262,MSE,0.1,3,250
11,11,XGBoost,1,CHEMBL262,SERA,0.1,10,100
12,12,XGBoost,2,CHEMBL262,MAE,0.1,10,250
13,13,XGBoost,2,CHEMBL262,MSE,0.1,5,100
17,17,XGBoost,2,CHEMBL262,SERA,0.1,3,100
18,18,XGBoost,3,CHEMBL262,MAE,0.1,10,250
19,19,XGBoost,3,CHEMBL262,MSE,0.1,10,50
23,23,XGBoost,3,CHEMBL262,SERA,0.1,5,50
24,24,XGBoost,4,CHEMBL262,MAE,0.1,10,250
25,25,XGBoost,4,CHEMBL262,MSE,0.1,5,250
29,29,XGBoost,4,CHEMBL262,SERA,0.1,5,100
