,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,262,GCN,Oracle,MAE,0.9297093965967476,0
1,262,GCN,Oracle,MSE,0.908867130500292,0
2,262,GCN,Oracle,R2,0.2140595055534562,0
3,262,GCN,Oracle,RMSE,0.9533452315401236,0
7,262,GCN,Oracle,SERA,0.1671779602766037,0
8,262,GCN,Oracle,MAE,0.2739969436662912,1
9,262,GCN,Oracle,MSE,0.1185842559925606,1
10,262,GCN,Oracle,R2,0.8977768777429078,1
11,262,GCN,Oracle,RMSE,0.3443606481474918,1
15,262,GCN,Oracle,SERA,0.0193643495440483,1
16,262,GCN,Oracle,MAE,0.1596026739225367,2
17,262,GCN,Oracle,MSE,0.0402105587114502,2
18,262,GCN,Oracle,R2,0.9661838641752164,2
19,262,GCN,Oracle,RMSE,0.2005257058619921,2
23,262,GCN,Oracle,SERA,0.005888168234378,2
24,262,GCN,Oracle,MAE,0.1957154294230876,3
25,262,GCN,Oracle,MSE,0.0625714107356754,3
26,262,GCN,Oracle,R2,0.947770094383671,3
27,262,GCN,Oracle,RMSE,0.2501427806986951,3
31,262,GCN,Oracle,SERA,0.0093539096415042,3
32,262,GCN,Oracle,MAE,0.4338543805841711,4
33,262,GCN,Oracle,MSE,0.2218188014663615,4
34,262,GCN,Oracle,R2,0.8127017952363089,4
35,262,GCN,Oracle,RMSE,0.4709764340881202,4
39,262,GCN,Oracle,SERA,0.040226899087429,4
40,262,DNN,Oracle,MAE,0.2077971487149919,0
41,262,DNN,Oracle,MSE,0.0782102720450902,0
42,262,DNN,Oracle,R2,0.9323678700448974,0
43,262,DNN,Oracle,RMSE,0.2796609948582215,0
47,262,DNN,Oracle,SERA,0.0220951791852712,0
48,262,DNN,Oracle,MAE,0.2747113868135762,1
49,262,DNN,Oracle,MSE,0.1391360126810037,1
50,262,DNN,Oracle,R2,0.8800606580055043,1
51,262,DNN,Oracle,RMSE,0.3730094002582291,1
55,262,DNN,Oracle,SERA,0.042720329016447,1
56,262,DNN,Oracle,MAE,0.2947030084815919,2
57,262,DNN,Oracle,MSE,0.163217046711969,2
58,262,DNN,Oracle,R2,0.8627382956765451,2
59,262,DNN,Oracle,RMSE,0.4040012954335283,2
63,262,DNN,Oracle,SERA,0.053000058978796,2
64,262,DNN,Oracle,MAE,0.2330155856680192,3
65,262,DNN,Oracle,MSE,0.0927914357926363,3
66,262,DNN,Oracle,R2,0.9225446913139552,3
67,262,DNN,Oracle,RMSE,0.3046168672162399,3
71,262,DNN,Oracle,SERA,0.0228107348084449,3
72,262,DNN,Oracle,MAE,0.1849258777144733,4
73,262,DNN,Oracle,MSE,0.0596558567252154,4
74,262,DNN,Oracle,R2,0.9496280982747656,4
75,262,DNN,Oracle,RMSE,0.2442454845544036,4
79,262,DNN,Oracle,SERA,0.0117765367031097,4
80,262,XGBoost,Oracle,MAE,0.1531868142395579,0
81,262,XGBoost,Oracle,MSE,0.0418357074354721,0
82,262,XGBoost,Oracle,R2,0.9638226804733748,0
83,262,XGBoost,Oracle,RMSE,0.2045377897491614,0
87,262,XGBoost,Oracle,SERA,0.0090620564296841,0
88,262,XGBoost,Oracle,MAE,0.1521920250366991,1
89,262,XGBoost,Oracle,MSE,0.0403939470316895,1
90,262,XGBoost,Oracle,R2,0.9651792276191712,1
91,262,XGBoost,Oracle,RMSE,0.200982454536931,1
95,262,XGBoost,Oracle,SERA,0.0084952469915151,1
96,262,XGBoost,Oracle,MAE,0.3406013057547455,2
97,262,XGBoost,Oracle,MSE,0.1906310514744466,2
98,262,XGBoost,Oracle,R2,0.8396837612891572,2
99,262,XGBoost,Oracle,RMSE,0.436613159987702,2
103,262,XGBoost,Oracle,SERA,0.0512088313698768,2
104,262,XGBoost,Oracle,MAE,0.3497980170714387,3
105,262,XGBoost,Oracle,MSE,0.1973627590645862,3
106,262,XGBoost,Oracle,R2,0.8352564189152232,3
107,262,XGBoost,Oracle,RMSE,0.4442552859163144,3
111,262,XGBoost,Oracle,SERA,0.0541583262383937,3
112,262,XGBoost,Oracle,MAE,0.227005816361947,4
113,262,XGBoost,Oracle,MSE,0.0840480221401307,4
114,262,XGBoost,Oracle,R2,0.929031968630609,4
115,262,XGBoost,Oracle,RMSE,0.2899103691490367,4
119,262,XGBoost,Oracle,SERA,0.017786543816328,4
120,262,SVR,Oracle,MAE,0.0967360079442991,0
121,262,SVR,Oracle,MSE,0.0121920382285805,0
122,262,SVR,Oracle,R2,0.9894569665552684,0
123,262,SVR,Oracle,RMSE,0.1104175630440218,0
127,262,SVR,Oracle,SERA,0.0019259969703853,0
128,262,SVR,Oracle,MAE,0.0977029191472765,1
129,262,SVR,Oracle,MSE,0.0124160633428494,1
