,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL230,MAE,"(500, 250)",0.0,tanh,0.001,200,10.0,0.2005965279584581,0.2938739396631717
1,1,DNN,0,CHEMBL230,MSE,"(500, 250)",0.0,tanh,0.001,200,10.0,0.2005965279584581,0.2938739396631717
5,5,DNN,0,CHEMBL230,SERA,"(500, 250)",0.0,tanh,0.001,200,11.0,17.73721018704501,24.89922022819519
6,6,DNN,1,CHEMBL230,MAE,"(100, 100)",0.0,tanh,0.01,200,11.0,0.1549447033215653,0.3933582948520779
7,7,DNN,1,CHEMBL230,MSE,"(100, 100)",0.0,tanh,0.01,200,11.0,0.1549447033215653,0.3933582948520779
11,11,DNN,1,CHEMBL230,SERA,"(100, 100)",0.0,tanh,0.01,200,52.0,2.3016284081068905,37.83384656906128
12,12,DNN,2,CHEMBL230,MAE,"(100, 100)",0.0,tanh,0.001,200,19.0,0.2178575125607577,0.3356262817978859
13,13,DNN,2,CHEMBL230,MSE,"(100, 100)",0.0,tanh,0.001,200,19.0,0.2178575125607577,0.3356262817978859
17,17,DNN,2,CHEMBL230,SERA,"(500, 250)",0.0,tanh,0.01,200,39.0,13.784393700686367,28.471563279628757
18,18,DNN,3,CHEMBL230,MAE,"(100, 100)",0.0,tanh,0.001,200,15.0,0.3799681318077174,0.4581277519464493
19,19,DNN,3,CHEMBL230,MSE,"(100, 100)",0.0,tanh,0.001,200,15.0,0.3799681318077174,0.4581277519464493
23,23,DNN,3,CHEMBL230,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,6.0,39.85328821702437,43.8681817650795
24,24,DNN,4,CHEMBL230,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,73.0,0.0188886570871214,0.3064531534910202
25,25,DNN,4,CHEMBL230,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,73.0,0.0188886570871214,0.3064531534910202
29,29,DNN,4,CHEMBL230,SERA,"(250, 500)",0.0,tanh,0.01,200,57.0,5.6525608626278965,26.32323837280273
