,Target ID,Algorithm,Selection Metric,Metric,Value,trial
24,260,kNN,SERA,MAE,0.3101997201921405,0
25,260,kNN,SERA,MSE,0.176221851544964,0
26,260,kNN,SERA,R2,0.8557539630031313,0
27,260,kNN,SERA,RMSE,0.4197878649329493,0
31,260,kNN,SERA,SERA,0.0378722995519638,0
32,260,kNN,MAE,MAE,0.3101997201921405,0
33,260,kNN,MAE,MSE,0.176221851544964,0
34,260,kNN,MAE,R2,0.8557539630031313,0
35,260,kNN,MAE,RMSE,0.4197878649329493,0
39,260,kNN,MAE,SERA,0.0378722995519638,0
40,260,kNN,MSE,MAE,0.3101997201921405,0
41,260,kNN,MSE,MSE,0.176221851544964,0
42,260,kNN,MSE,R2,0.8557539630031313,0
43,260,kNN,MSE,RMSE,0.4197878649329493,0
47,260,kNN,MSE,SERA,0.0378722995519638,0
72,260,kNN,SERA,MAE,0.310183084748858,1
73,260,kNN,SERA,MSE,0.1775446242741869,1
74,260,kNN,SERA,R2,0.8531433408063509,1
75,260,kNN,SERA,RMSE,0.4213604446008037,1
79,260,kNN,SERA,SERA,0.0391852743923664,1
80,260,kNN,MAE,MAE,0.310183084748858,1
81,260,kNN,MAE,MSE,0.1775446242741869,1
82,260,kNN,MAE,R2,0.8531433408063509,1
83,260,kNN,MAE,RMSE,0.4213604446008037,1
87,260,kNN,MAE,SERA,0.0391852743923664,1
88,260,kNN,MSE,MAE,0.310183084748858,1
89,260,kNN,MSE,MSE,0.1775446242741869,1
90,260,kNN,MSE,R2,0.8531433408063509,1
91,260,kNN,MSE,RMSE,0.4213604446008037,1
95,260,kNN,MSE,SERA,0.0391852743923664,1
120,260,kNN,SERA,MAE,0.3883766684876878,2
121,260,kNN,SERA,MSE,0.2655906708050656,2
122,260,kNN,SERA,R2,0.7864761146928677,2
123,260,kNN,SERA,RMSE,0.5153548979150829,2
127,260,kNN,SERA,SERA,0.0587101764976978,2
128,260,kNN,MAE,MAE,0.3883766684876878,2
129,260,kNN,MAE,MSE,0.2655906708050656,2
130,260,kNN,MAE,R2,0.7864761146928677,2
131,260,kNN,MAE,RMSE,0.5153548979150829,2
135,260,kNN,MAE,SERA,0.0587101764976978,2
136,260,kNN,MSE,MAE,0.3883766684876878,2
137,260,kNN,MSE,MSE,0.2655906708050656,2
138,260,kNN,MSE,R2,0.7864761146928677,2
139,260,kNN,MSE,RMSE,0.5153548979150829,2
143,260,kNN,MSE,SERA,0.0587101764976978,2
168,260,kNN,SERA,MAE,0.3241857297237911,3
169,260,kNN,SERA,MSE,0.1986085723361586,3
170,260,kNN,SERA,R2,0.8417528870695199,3
171,260,kNN,SERA,RMSE,0.445655216884262,3
175,260,kNN,SERA,SERA,0.04385207593441,3
176,260,kNN,MAE,MAE,0.3856226050085767,3
177,260,kNN,MAE,MSE,0.2708738124495012,3
178,260,kNN,MAE,R2,0.7841734710420558,3
179,260,kNN,MAE,RMSE,0.5204553894903012,3
183,260,kNN,MAE,SERA,0.0604055598378181,3
184,260,kNN,MSE,MAE,0.3856226050085767,3
185,260,kNN,MSE,MSE,0.2708738124495012,3
186,260,kNN,MSE,R2,0.7841734710420558,3
187,260,kNN,MSE,RMSE,0.5204553894903012,3
191,260,kNN,MSE,SERA,0.0604055598378181,3
216,260,kNN,SERA,MAE,0.3148201538509318,4
217,260,kNN,SERA,MSE,0.1814582649720547,4
218,260,kNN,SERA,R2,0.8550451211861251,4
219,260,kNN,SERA,RMSE,0.4259791837309128,4
223,260,kNN,SERA,SERA,0.0377855449914932,4
224,260,kNN,MAE,MAE,0.3148201538509318,4
225,260,kNN,MAE,MSE,0.1814582649720547,4
226,260,kNN,MAE,R2,0.8550451211861251,4
227,260,kNN,MAE,RMSE,0.4259791837309128,4
231,260,kNN,MAE,SERA,0.0377855449914932,4
232,260,kNN,MSE,MAE,0.3779339216705036,4
233,260,kNN,MSE,MSE,0.2562157509490357,4
234,260,kNN,MSE,R2,0.7953263625950404,4
235,260,kNN,MSE,RMSE,0.5061775883511989,4
239,260,kNN,MSE,SERA,0.0596086084842681,4
