,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL220,MAE,"(250, 500)",0.0,tanh,0.01,200,172.0,0.0722226770594716,0.5917044173587452
1,1,DNN,0,CHEMBL220,MSE,"(250, 500)",0.0,tanh,0.01,200,172.0,0.0722226770594716,0.5917044173587452
5,5,DNN,0,CHEMBL220,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,189.0,19.366960674524307,83.78212391246448
6,6,DNN,1,CHEMBL220,MAE,"(250, 500)",0.0,tanh,0.01,200,7.0,0.207318790955469,0.5401795641942457
7,7,DNN,1,CHEMBL220,MSE,"(250, 500)",0.0,tanh,0.01,200,7.0,0.207318790955469,0.5401795641942457
11,11,DNN,1,CHEMBL220,SERA,"(100, 100)",0.0,tanh,0.01,200,36.0,8.48667561262846,77.6011853651567
12,12,DNN,2,CHEMBL220,MAE,"(250, 250)",0.0,tanh,0.01,200,68.0,0.068805219780188,0.4298055551268838
13,13,DNN,2,CHEMBL220,MSE,"(250, 250)",0.0,tanh,0.01,200,68.0,0.068805219780188,0.4298055551268838
17,17,DNN,2,CHEMBL220,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,43.0,15.462590664625168,60.62242611971769
18,18,DNN,3,CHEMBL220,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,12.0,0.126904257456772,0.5227019082416188
19,19,DNN,3,CHEMBL220,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,12.0,0.126904257456772,0.5227019082416188
23,23,DNN,3,CHEMBL220,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,23.0,14.762181177735329,77.39609909057617
24,24,DNN,4,CHEMBL220,MAE,"(100, 100)",0.0,tanh,0.01,200,91.0,0.0292694539530202,0.5280635072426363
25,25,DNN,4,CHEMBL220,MSE,"(100, 100)",0.0,tanh,0.01,200,91.0,0.0292694539530202,0.5280635072426363
29,29,DNN,4,CHEMBL220,SERA,"(250, 500)",0.0,tanh,0.01,200,44.0,25.603198513388637,72.27410333806819
