,Target ID,Algorithm,Selection Metric,Metric,Value,trial
120,1865,GCN,SERA,MAE,0.3545645922022284,0
121,1865,GCN,SERA,MSE,0.191526533874515,0
122,1865,GCN,SERA,R2,0.8055661309980277,0
123,1865,GCN,SERA,RMSE,0.437637445695081,0
127,1865,GCN,SERA,SERA,0.043345421552658,0
128,1865,GCN,SERA,MAE,0.1801106927501828,1
129,1865,GCN,SERA,MSE,0.0528728611371051,1
130,1865,GCN,SERA,R2,0.9461797947236148,1
131,1865,GCN,SERA,RMSE,0.2299409949032688,1
135,1865,GCN,SERA,SERA,0.0091840466484427,1
136,1865,GCN,SERA,MAE,2.495112087698784,2
137,1865,GCN,SERA,MSE,6.504473219547618,2
138,1865,GCN,SERA,R2,-5.621604839791802,2
139,1865,GCN,SERA,RMSE,2.5503868764459283,2
143,1865,GCN,SERA,SERA,0.9452598094940186,2
144,1865,GCN,SERA,MAE,0.2059119433774928,3
145,1865,GCN,SERA,MSE,0.0676306918211963,3
146,1865,GCN,SERA,R2,0.9282740159103204,3
147,1865,GCN,SERA,RMSE,0.2600590160351998,3
151,1865,GCN,SERA,SERA,0.0117416679859161,3
152,1865,GCN,SERA,MAE,0.4785674210792002,4
153,1865,GCN,SERA,MSE,0.3052621450588256,4
154,1865,GCN,SERA,R2,0.6879030426764783,4
155,1865,GCN,SERA,RMSE,0.5525053348691084,4
159,1865,GCN,SERA,SERA,0.0395468361675739,4
160,1865,GCN,MSE,MAE,0.3261749745212003,0
161,1865,GCN,MSE,MSE,0.1460605423498081,0
162,1865,GCN,MSE,R2,0.8517222873348387,0
163,1865,GCN,MSE,RMSE,0.382178678565155,0
167,1865,GCN,MSE,SERA,0.0283250883221626,0
168,1865,GCN,MSE,MAE,0.6390403513196337,1
169,1865,GCN,MSE,MSE,0.5052616352483024,1
170,1865,GCN,MSE,R2,0.4856853905289793,1
171,1865,GCN,MSE,RMSE,0.7108175822588397,1
175,1865,GCN,MSE,SERA,0.0723371133208274,1
176,1865,GCN,MSE,MAE,0.4202233226075675,2
177,1865,GCN,MSE,MSE,0.2750095612794598,2
178,1865,GCN,MSE,R2,0.720038106009184,2
179,1865,GCN,MSE,RMSE,0.5244135403281077,2
183,1865,GCN,MSE,SERA,0.035651009529829,2
184,1865,GCN,MSE,MAE,0.4957521201334671,3
185,1865,GCN,MSE,MSE,0.3066065311870031,3
186,1865,GCN,MSE,R2,0.6748272923800205,3
187,1865,GCN,MSE,RMSE,0.5537206255748499,3
191,1865,GCN,MSE,SERA,0.0552207827568054,3
192,1865,GCN,MSE,MAE,0.2806157700412025,4
193,1865,GCN,MSE,MSE,0.1204871854948225,4
194,1865,GCN,MSE,R2,0.876815109249257,4
195,1865,GCN,MSE,RMSE,0.3471126409320504,4
199,1865,GCN,MSE,SERA,0.0232823900878429,4
200,1865,GCN,MAE,MAE,0.4579308235135447,0
201,1865,GCN,MAE,MSE,0.2861879191217426,0
202,1865,GCN,MAE,R2,0.7094678045344809,0
203,1865,GCN,MAE,RMSE,0.5349653438511158,0
207,1865,GCN,MAE,SERA,0.0645700767636299,0
208,1865,GCN,MAE,MAE,0.8875343827262463,1
209,1865,GCN,MAE,MSE,0.918734893159006,1
210,1865,GCN,MAE,R2,0.0648037673585436,1
211,1865,GCN,MAE,RMSE,0.9585065952610894,1
215,1865,GCN,MAE,SERA,0.1301106214523315,1
216,1865,GCN,MAE,MAE,0.2976339501548879,2
217,1865,GCN,MAE,MSE,0.1690546369926802,2
218,1865,GCN,MAE,R2,0.8279010513663346,2
219,1865,GCN,MAE,RMSE,0.4111625432753817,2
223,1865,GCN,MAE,SERA,0.0286011267453432,2
224,1865,GCN,MAE,MAE,0.6622538968626254,3
225,1865,GCN,MAE,MSE,0.5537624806128506,3
226,1865,GCN,MAE,R2,0.4127051224182466,3
227,1865,GCN,MAE,RMSE,0.7441521891473885,3
231,1865,GCN,MAE,SERA,0.072335697710514,3
232,1865,GCN,MAE,MAE,0.3354859377217952,4
233,1865,GCN,MAE,MSE,0.1806734405408241,4
234,1865,GCN,MAE,R2,0.8152812853650844,4
235,1865,GCN,MAE,RMSE,0.4250569850512095,4
239,1865,GCN,MAE,SERA,0.0311200506985187,4
