,Unnamed: 0,model,trial,Target ID,SelectionMetric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func
15,15,GCN,0,CHEMBL220,SERA,100,0.001,1,"[256, 256]",64,0.0,regression,30,<__main__.SeraLoss object at 0x14b0b03a34c0>
16,16,GCN,1,CHEMBL220,SERA,200,0.001,1,"[512, 512]",256,0.0,regression,30,<__main__.SeraLoss object at 0x14b04dc0fd30>
17,17,GCN,2,CHEMBL220,SERA,100,0.001,1,"[256, 256]",512,0.0,regression,30,<__main__.SeraLoss object at 0x14b050e66c10>
18,18,GCN,3,CHEMBL220,SERA,100,0.001,1,"[256, 256]",256,0.0,regression,30,<__main__.SeraLoss object at 0x14b04dbde160>
19,19,GCN,4,CHEMBL220,SERA,100,0.001,1,"[512, 512]",64,0.0,regression,30,<__main__.SeraLoss object at 0x14b050e23130>
20,20,GCN,0,CHEMBL220,MSE,100,0.001,1,"[256, 256]",512,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b04dc46b20>
21,21,GCN,1,CHEMBL220,MSE,100,0.001,1,"[256, 256]",64,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b0b0319a60>
22,22,GCN,2,CHEMBL220,MSE,100,0.001,1,"[64, 64]",64,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b0c56961f0>
23,23,GCN,3,CHEMBL220,MSE,200,0.001,1,"[256, 256]",256,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b0b02aef10>
24,24,GCN,4,CHEMBL220,MSE,200,0.001,1,"[256, 256]",1024,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b050e4fdf0>
25,25,GCN,0,CHEMBL220,MAE,200,0.001,1,"[64, 64]",256,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b0b027bc40>
26,26,GCN,1,CHEMBL220,MAE,100,0.001,1,"[256, 256]",512,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b04dc7c580>
27,27,GCN,2,CHEMBL220,MAE,200,0.001,1,"[256, 256]",512,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b04dbf8670>
28,28,GCN,3,CHEMBL220,MAE,200,0.001,1,"[256, 256]",1024,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b19b2c2f70>
29,29,GCN,4,CHEMBL220,MAE,200,0.001,1,"[512, 512]",512,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b1964b0700>
