,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,2409,GCN,Oracle,MAE,0.2898488313957799,0
1,2409,GCN,Oracle,MSE,0.138298018970769,0
2,2409,GCN,Oracle,R2,0.8942571076840771,0
3,2409,GCN,Oracle,RMSE,0.3718844161440071,0
7,2409,GCN,Oracle,SERA,0.0470134057104587,0
8,2409,GCN,Oracle,MAE,1.8100029791932248,1
9,2409,GCN,Oracle,MSE,3.3957684497173117,1
10,2409,GCN,Oracle,R2,-1.623886659923934,1
11,2409,GCN,Oracle,RMSE,1.8427610940426624,1
15,2409,GCN,Oracle,SERA,1.0006831884384155,1
16,2409,GCN,Oracle,MAE,0.7320996767613911,2
17,2409,GCN,Oracle,MSE,0.66952151736491,2
18,2409,GCN,Oracle,R2,0.4752911331818567,2
19,2409,GCN,Oracle,RMSE,0.8182429451971522,2
23,2409,GCN,Oracle,SERA,0.2845669686794281,2
24,2409,GCN,Oracle,MAE,0.5463809847444621,3
25,2409,GCN,Oracle,MSE,0.3679853189850656,3
26,2409,GCN,Oracle,R2,0.7094054454946901,3
27,2409,GCN,Oracle,RMSE,0.6066179349352158,3
31,2409,GCN,Oracle,SERA,0.1049557030200958,3
32,2409,GCN,Oracle,MAE,0.2314549648465302,4
33,2409,GCN,Oracle,MSE,0.0851637098726844,4
34,2409,GCN,Oracle,R2,0.9326389183746524,4
35,2409,GCN,Oracle,RMSE,0.2918282198017944,4
39,2409,GCN,Oracle,SERA,0.0327855870127677,4
40,2409,DNN,Oracle,MAE,0.4190728324992469,0
41,2409,DNN,Oracle,MSE,0.2428646381597917,0
42,2409,DNN,Oracle,R2,0.8143052990100714,0
43,2409,DNN,Oracle,RMSE,0.4928129849748195,0
47,2409,DNN,Oracle,SERA,0.112771175801754,0
48,2409,DNN,Oracle,MAE,0.3820900241313008,1
49,2409,DNN,Oracle,MSE,0.2496085323353753,1
50,2409,DNN,Oracle,R2,0.8071292233566438,1
51,2409,DNN,Oracle,RMSE,0.4996083789683429,1
55,2409,DNN,Oracle,SERA,0.1117089092731475,1
56,2409,DNN,Oracle,MAE,0.1125425393316038,2
57,2409,DNN,Oracle,MSE,0.0262555452385246,2
58,2409,DNN,Oracle,R2,0.9794233388584432,2
59,2409,DNN,Oracle,RMSE,0.1620356295341386,2
63,2409,DNN,Oracle,SERA,0.0057616825215518,2
64,2409,DNN,Oracle,MAE,0.3731695691778489,3
65,2409,DNN,Oracle,MSE,0.2580401369339689,3
66,2409,DNN,Oracle,R2,0.7962281244164009,3
67,2409,DNN,Oracle,RMSE,0.5079765121872948,3
71,2409,DNN,Oracle,SERA,0.093261681497097,3
72,2409,DNN,Oracle,MAE,0.2988893889834924,4
73,2409,DNN,Oracle,MSE,0.1701988485735879,4
74,2409,DNN,Oracle,R2,0.8653795313937721,4
75,2409,DNN,Oracle,RMSE,0.4125516314033771,4
79,2409,DNN,Oracle,SERA,0.0469809994101524,4
80,2409,XGBoost,Oracle,MAE,0.2997855250400076,0
81,2409,XGBoost,Oracle,MSE,0.1525388868725203,0
82,2409,XGBoost,Oracle,R2,0.8833685167105618,0
83,2409,XGBoost,Oracle,RMSE,0.3905622701599839,0
87,2409,XGBoost,Oracle,SERA,0.0614685006439685,0
88,2409,XGBoost,Oracle,MAE,0.2963371149692658,1
89,2409,XGBoost,Oracle,MSE,0.1517278774362264,1
90,2409,XGBoost,Oracle,R2,0.8827609245334056,1
91,2409,XGBoost,Oracle,RMSE,0.3895226276305735,1
95,2409,XGBoost,Oracle,SERA,0.0558823980391025,1
96,2409,XGBoost,Oracle,MAE,0.2995764076177609,2
97,2409,XGBoost,Oracle,MSE,0.1535083771827425,2
98,2409,XGBoost,Oracle,R2,0.8796943719513823,2
99,2409,XGBoost,Oracle,RMSE,0.3918014512259271,2
103,2409,XGBoost,Oracle,SERA,0.0622537098824977,2
104,2409,XGBoost,Oracle,MAE,0.2993517268696329,3
105,2409,XGBoost,Oracle,MSE,0.1549642727380516,3
106,2409,XGBoost,Oracle,R2,0.8776261674657162,3
107,2409,XGBoost,Oracle,RMSE,0.3936550174176008,3
111,2409,XGBoost,Oracle,SERA,0.0613479427993297,3
112,2409,XGBoost,Oracle,MAE,0.2975450002324474,4
113,2409,XGBoost,Oracle,MSE,0.1503557899465673,4
114,2409,XGBoost,Oracle,R2,0.8810745955692233,4
115,2409,XGBoost,Oracle,RMSE,0.3877573854184693,4
119,2409,XGBoost,Oracle,SERA,0.0592542067170143,4
120,2409,SVR,Oracle,MAE,0.1061030194568677,0
121,2409,SVR,Oracle,MSE,0.0221536544120138,0
122,2409,SVR,Oracle,R2,0.9830612794722036,0
123,2409,SVR,Oracle,RMSE,0.1488410373922927,0
127,2409,SVR,Oracle,SERA,0.0071858558803796,0
128,2409,SVR,Oracle,MAE,0.1048697790450103,1
129,2409,SVR,Oracle,MSE,0.0192405807624963,1
130,2409,SVR,Oracle,R2,0.9851329370834734,1
131,2409,SVR,Oracle,RMSE,0.1387104205259877,1
135,2409,SVR,Oracle,SERA,0.0061231963336467,1
136,2409,SVR,Oracle,MAE,0.0996720181707312,2
137,2409,SVR,Oracle,MSE,0.0151387782613075,2
138,2409,SVR,Oracle,R2,0.9881356297288764,2
139,2409,SVR,Oracle,RMSE,0.1230397426090754,2
143,2409,SVR,Oracle,SERA,0.0076186973601579,2
144,2409,SVR,Oracle,MAE,0.0986127325516559,3
145,2409,SVR,Oracle,MSE,0.014566180706671,3
146,2409,SVR,Oracle,R2,0.988497223734432,3
147,2409,SVR,Oracle,RMSE,0.1206904333684781,3
151,2409,SVR,Oracle,SERA,0.0057796970941126,3
152,2409,SVR,Oracle,MAE,0.1038213732406832,4
153,2409,SVR,Oracle,MSE,0.0182539531882463,4
154,2409,SVR,Oracle,R2,0.985561854544184,4
155,2409,SVR,Oracle,RMSE,0.1351071914749409,4
159,2409,SVR,Oracle,SERA,0.0071042133495211,4
160,2409,kNN,Oracle,MAE,0.0067170445671808,0
161,2409,kNN,Oracle,MSE,0.0072074306187667,0
162,2409,kNN,Oracle,R2,0.9944891867181712,0
163,2409,kNN,Oracle,RMSE,0.0848965877922471,0
167,2409,kNN,Oracle,SERA,0.0058608008548617,0
