,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,279,XGBoost,MAE,MAE,0.1857525747641232,0
1,279,XGBoost,MAE,MSE,0.1138507562097003,0
2,279,XGBoost,MAE,R2,0.907807573976776,0
3,279,XGBoost,MAE,RMSE,0.3374177769615885,0
7,279,XGBoost,MAE,SERA,0.0395973287522792,0
8,279,XGBoost,MSE,MAE,0.1408140503379166,0
9,279,XGBoost,MSE,MSE,0.0369146001827498,0
10,279,XGBoost,MSE,R2,0.9701078265983876,0
11,279,XGBoost,MSE,RMSE,0.1921317261223399,0
15,279,XGBoost,MSE,SERA,0.0088086277246475,0
40,279,XGBoost,SERA,MAE,0.5361065720397906,0
41,279,XGBoost,SERA,MSE,0.5059341208117485,0
42,279,XGBoost,SERA,R2,0.5903119526088145,0
43,279,XGBoost,SERA,RMSE,0.7112904616341684,0
47,279,XGBoost,SERA,SERA,0.0535652637481689,0
48,279,XGBoost,MAE,MAE,0.1666903593139594,1
49,279,XGBoost,MAE,MSE,0.0971047710937185,1
50,279,XGBoost,MAE,R2,0.918544960447292,1
51,279,XGBoost,MAE,RMSE,0.3116163845078088,1
55,279,XGBoost,MAE,SERA,0.0373025648295879,1
56,279,XGBoost,MSE,MAE,0.137071315153114,1
57,279,XGBoost,MSE,MSE,0.0354002284762914,1
58,279,XGBoost,MSE,R2,0.9703049914207794,1
59,279,XGBoost,MSE,RMSE,0.1881494843901823,1
63,279,XGBoost,MSE,SERA,0.0077672200277447,1
88,279,XGBoost,SERA,MAE,0.5234203036690225,1
89,279,XGBoost,SERA,MSE,0.472166909491145,1
90,279,XGBoost,SERA,R2,0.6039290978713918,1
91,279,XGBoost,SERA,RMSE,0.687144023834265,1
95,279,XGBoost,SERA,SERA,0.0496843606233596,1
96,279,XGBoost,MAE,MAE,0.1696232460629148,2
97,279,XGBoost,MAE,MSE,0.1014038702261569,2
98,279,XGBoost,MAE,R2,0.9175713926844842,2
99,279,XGBoost,MAE,RMSE,0.3184397434777213,2
103,279,XGBoost,MAE,SERA,0.0415015146136283,2
104,279,XGBoost,MSE,MAE,0.3278323424935921,2
105,279,XGBoost,MSE,MSE,0.1773991323618363,2
106,279,XGBoost,MSE,R2,0.8557967917106669,2
107,279,XGBoost,MSE,RMSE,0.4211877637845576,2
111,279,XGBoost,MSE,SERA,0.045999951660633,2
136,279,XGBoost,SERA,MAE,0.5312135317780681,2
137,279,XGBoost,SERA,MSE,0.5041162303063849,2
138,279,XGBoost,SERA,R2,0.5902168359390247,2
139,279,XGBoost,SERA,RMSE,0.7100114297012301,2
143,279,XGBoost,SERA,SERA,0.0539287477731704,2
144,279,XGBoost,MAE,MAE,0.1856674693356497,3
145,279,XGBoost,MAE,MSE,0.1192112651923127,3
146,279,XGBoost,MAE,R2,0.9012769098588914,3
147,279,XGBoost,MAE,RMSE,0.3452698440239354,3
151,279,XGBoost,MAE,SERA,0.0424551032483577,3
152,279,XGBoost,MSE,MAE,0.2559708731550553,3
153,279,XGBoost,MSE,MSE,0.1106368339646802,3
154,279,XGBoost,MSE,R2,0.9083777014294592,3
155,279,XGBoost,MSE,RMSE,0.3326211568206091,3
159,279,XGBoost,MSE,SERA,0.0266871191561222,3
184,279,XGBoost,SERA,MAE,0.5102057840207246,3
185,279,XGBoost,SERA,MSE,0.4487457602206958,3
186,279,XGBoost,SERA,R2,0.6283776699690223,3
187,279,XGBoost,SERA,RMSE,0.6698848857980719,3
191,279,XGBoost,SERA,SERA,0.0485989898443222,3
192,279,XGBoost,MAE,MAE,0.1805807627855948,4
193,279,XGBoost,MAE,MSE,0.110549507585343,4
194,279,XGBoost,MAE,R2,0.9085863348533596,4
195,279,XGBoost,MAE,RMSE,0.3324898608760018,4
199,279,XGBoost,MAE,SERA,0.0394880920648574,4
200,279,XGBoost,MSE,MAE,0.141689544637334,4
201,279,XGBoost,MSE,MSE,0.0370342898710686,4
202,279,XGBoost,MSE,R2,0.9693762528014522,4
203,279,XGBoost,MSE,RMSE,0.1924429522509687,4
207,279,XGBoost,MSE,SERA,0.0081379543989896,4
232,279,XGBoost,SERA,MAE,0.4140542112917409,4
233,279,XGBoost,SERA,MSE,0.3137292325136067,4
234,279,XGBoost,SERA,R2,0.7405765106138409,4
235,279,XGBoost,SERA,RMSE,0.5601153742878396,4
239,279,XGBoost,SERA,SERA,0.0312711335718631,4
