,Unnamed: 0,model,trial,Target ID,Selection Metric,learning_rate,max_depth,n_estimators
0,0,XGBoost,0,CHEMBL279,MAE,0.1,10,250
1,1,XGBoost,0,CHEMBL279,MSE,0.1,10,250
5,5,XGBoost,0,CHEMBL279,SERA,0.1,5,100
6,6,XGBoost,1,CHEMBL279,MAE,0.1,10,250
7,7,XGBoost,1,CHEMBL279,MSE,0.1,10,250
11,11,XGBoost,1,CHEMBL279,SERA,0.1,5,100
12,12,XGBoost,2,CHEMBL279,MAE,0.1,10,250
13,13,XGBoost,2,CHEMBL279,MSE,0.1,5,250
17,17,XGBoost,2,CHEMBL279,SERA,0.1,3,250
18,18,XGBoost,3,CHEMBL279,MAE,0.1,10,250
19,19,XGBoost,3,CHEMBL279,MSE,0.1,10,100
23,23,XGBoost,3,CHEMBL279,SERA,0.1,5,100
24,24,XGBoost,4,CHEMBL279,MAE,0.1,10,250
25,25,XGBoost,4,CHEMBL279,MSE,0.1,10,250
29,29,XGBoost,4,CHEMBL279,SERA,0.1,5,250
