,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,220,kNN,MAE,MAE,0.3351786889722127,0
1,220,kNN,MAE,MSE,0.2462736205788163,0
2,220,kNN,MAE,R2,0.8085451819834301,0
3,220,kNN,MAE,RMSE,0.4962596302126703,0
7,220,kNN,MAE,SERA,0.0472785830497741,0
8,220,kNN,MSE,MAE,0.3945263887354109,0
9,220,kNN,MSE,MSE,0.3104794500361591,0
10,220,kNN,MSE,R2,0.7586311255551881,0
11,220,kNN,MSE,RMSE,0.5572068287773931,0
15,220,kNN,MSE,SERA,0.0644702538847923,0
40,220,kNN,SERA,MAE,0.3351786889722127,0
41,220,kNN,SERA,MSE,0.2462736205788163,0
42,220,kNN,SERA,R2,0.8085451819834301,0
43,220,kNN,SERA,RMSE,0.4962596302126703,0
47,220,kNN,SERA,SERA,0.0472785830497741,0
48,220,kNN,MAE,MAE,0.3983651182109856,1
49,220,kNN,MAE,MSE,0.3036965651724698,1
50,220,kNN,MAE,R2,0.7678704370408198,1
51,220,kNN,MAE,RMSE,0.5510867129340625,1
55,220,kNN,MAE,SERA,0.0654289275407791,1
56,220,kNN,MSE,MAE,0.3983651182109856,1
57,220,kNN,MSE,MSE,0.3036965651724698,1
58,220,kNN,MSE,R2,0.7678704370408198,1
59,220,kNN,MSE,RMSE,0.5510867129340625,1
63,220,kNN,MSE,SERA,0.0654289275407791,1
88,220,kNN,SERA,MAE,0.3373696311452812,1
89,220,kNN,SERA,MSE,0.2390616343094143,1
90,220,kNN,SERA,R2,0.8172739534902643,1
91,220,kNN,SERA,RMSE,0.4889392951169033,1
95,220,kNN,SERA,SERA,0.0491598211228847,1
96,220,kNN,MAE,MAE,0.3967137950927375,2
97,220,kNN,MAE,MSE,0.2988696697191619,2
98,220,kNN,MAE,R2,0.7702699519259486,2
99,220,kNN,MAE,RMSE,0.5466897380774235,2
103,220,kNN,MAE,SERA,0.0612773224711418,2
104,220,kNN,MSE,MAE,0.3967137950927375,2
105,220,kNN,MSE,MSE,0.2988696697191619,2
106,220,kNN,MSE,R2,0.7702699519259486,2
107,220,kNN,MSE,RMSE,0.5466897380774235,2
111,220,kNN,MSE,SERA,0.0612773224711418,2
136,220,kNN,SERA,MAE,0.3356028759611325,2
137,220,kNN,SERA,MSE,0.2337687612005548,2
138,220,kNN,SERA,R2,0.8203106096403877,2
139,220,kNN,SERA,RMSE,0.4834963921277539,2
143,220,kNN,SERA,SERA,0.0452312938868999,2
144,220,kNN,MAE,MAE,0.3335337694429765,3
145,220,kNN,MAE,MSE,0.2348490088792467,3
146,220,kNN,MAE,R2,0.8157546696249187,3
147,220,kNN,MAE,RMSE,0.4846122252680453,3
151,220,kNN,MAE,SERA,0.0457045584917068,3
152,220,kNN,MSE,MAE,0.3859167257487471,3
153,220,kNN,MSE,MSE,0.2916782354059238,3
154,220,kNN,MSE,R2,0.7711706210639488,3
155,220,kNN,MSE,RMSE,0.5400724353324504,3
159,220,kNN,MSE,SERA,0.0649264529347419,3
184,220,kNN,SERA,MAE,0.3335337694429765,3
185,220,kNN,SERA,MSE,0.2348490088792467,3
186,220,kNN,SERA,R2,0.8157546696249187,3
187,220,kNN,SERA,RMSE,0.4846122252680453,3
191,220,kNN,SERA,SERA,0.0457045584917068,3
192,220,kNN,MAE,MAE,0.3334525530005486,4
193,220,kNN,MAE,MSE,0.2363327354971475,4
194,220,kNN,MAE,R2,0.8276343266772526,4
195,220,kNN,MAE,RMSE,0.4861406540263296,4
199,220,kNN,MAE,SERA,0.0420510619878768,4
200,220,kNN,MSE,MAE,0.3952117271073292,4
201,220,kNN,MSE,MSE,0.3076632294641659,4
202,220,kNN,MSE,R2,0.7756105196697053,4
203,220,kNN,MSE,RMSE,0.5546739848453017,4
207,220,kNN,MSE,SERA,0.0634507089853286,4
232,220,kNN,SERA,MAE,0.3334525530005486,4
233,220,kNN,SERA,MSE,0.2363327354971475,4
234,220,kNN,SERA,R2,0.8276343266772526,4
235,220,kNN,SERA,RMSE,0.4861406540263296,4
239,220,kNN,SERA,SERA,0.0420510619878768,4
