,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL4822,MAE,"(250, 500)",0.0,tanh,0.001,200,9.0,0.1167505113851456,0.4587310190711702
1,1,DNN,0,CHEMBL4822,MSE,"(250, 500)",0.0,tanh,0.001,200,9.0,0.1167505113851456,0.4587310190711702
5,5,DNN,0,CHEMBL4822,SERA,"(250, 500)",0.0,tanh,0.001,200,9.0,22.28312819344657,87.51327133178711
6,6,DNN,1,CHEMBL4822,MAE,"(500, 250, 100)",0.0,tanh,0.001,200,65.0,0.0673147314006374,0.3332525151116507
7,7,DNN,1,CHEMBL4822,MSE,"(500, 250, 100)",0.0,tanh,0.001,200,65.0,0.0673147314006374,0.3332525151116507
11,11,DNN,1,CHEMBL4822,SERA,"(100, 100)",0.0,tanh,0.01,200,33.0,7.502509469077701,66.867919921875
12,12,DNN,2,CHEMBL4822,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,35.0,0.032870184275366,0.3364904863493783
13,13,DNN,2,CHEMBL4822,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,35.0,0.032870184275366,0.3364904863493783
17,17,DNN,2,CHEMBL4822,SERA,"(250, 250)",0.0,tanh,0.01,200,77.0,7.695305585861206,63.36046491350447
18,18,DNN,3,CHEMBL4822,MAE,"(100, 100)",0.0,tanh,0.001,200,15.0,0.1864317009846369,0.2892128037554877
19,19,DNN,3,CHEMBL4822,MSE,"(100, 100)",0.0,tanh,0.001,200,15.0,0.1864317009846369,0.2892128037554877
23,23,DNN,3,CHEMBL4822,SERA,"(250, 500)",0.0,tanh,0.001,200,5.0,64.09191440400623,56.15084729875837
24,24,DNN,4,CHEMBL4822,MAE,"(500, 250)",0.0,tanh,0.01,200,44.0,0.1441500467203912,0.4000833673136575
25,25,DNN,4,CHEMBL4822,MSE,"(500, 250)",0.0,tanh,0.01,200,44.0,0.1441500467203912,0.4000833673136575
29,29,DNN,4,CHEMBL4822,SERA,"(500, 250)",0.0,tanh,0.01,200,27.0,45.19734110151018,79.5410886492048
